datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-01T00:00:00.000000000,555.1,551.66085
2022-07-01T01:00:00.000000000,539.22,556.51131
2022-07-01T02:00:00.000000000,553.2,571.9524
2022-07-01T03:00:00.000000000,600.85,580.37265
2022-07-01T04:00:00.000000000,633.76,592.88859
2022-07-01T05:00:00.000000000,617.57,602.88791
2022-07-01T06:00:00.000000000,643.74,610.56647
2022-07-01T07:00:00.000000000,658.94,626.1993
2022-07-01T08:00:00.000000000,685.01,619.07161
2022-07-01T09:00:00.000000000,683.4,615.13026
2022-07-01T10:00:00.000000000,671.16,612.18531
2022-07-01T11:00:00.000000000,632.3,612.11829
2022-07-01T12:00:00.000000000,631.5,597.54289
2022-07-01T13:00:00.000000000,625.24,594.30933
2022-07-01T14:00:00.000000000,586.81,579.58127
2022-07-01T15:00:00.000000000,556.1,553.31881
2022-07-01T16:00:00.000000000,566.1,542.16584
2022-07-01T17:00:00.000000000,548.7,530.3102
2022-07-01T18:00:00.000000000,511.56,512.89554
2022-07-01T19:00:00.000000000,522.15,507.30447
2022-07-01T20:00:00.000000000,515.63,500.18362
2022-07-01T21:00:00.000000000,501.3,496.42717
2022-07-01T22:00:00.000000000,510.02,504.18562
2022-07-01T23:00:00.000000000,496.68,507.43202
2022-07-02T00:00:00.000000000,506.65,532.50546
2022-07-02T01:00:00.000000000,520.54,540.8464
2022-07-02T02:00:00.000000000,497.29,559.02334
2022-07-02T03:00:00.000000000,553.27,568.07774
2022-07-02T04:00:00.000000000,614.3,579.0498
2022-07-02T05:00:00.000000000,640.88,588.15068
2022-07-02T06:00:00.000000000,626.56,595.2208
2022-07-02T07:00:00.000000000,595.17,609.85056
2022-07-02T08:00:00.000000000,576.31,603.6224
2022-07-02T09:00:00.000000000,532.04,601.99322
2022-07-02T10:00:00.000000000,517.4,602.45812
2022-07-02T11:00:00.000000000,523.95,605.48258
2022-07-02T12:00:00.000000000,517.64,594.58804
2022-07-02T13:00:00.000000000,543.12,593.09111
2022-07-02T14:00:00.000000000,538.15,580.0353
2022-07-02T15:00:00.000000000,502.2,555.03783
2022-07-02T16:00:00.000000000,485.74,543.26242
2022-07-02T17:00:00.000000000,494.15,531.33523
2022-07-02T18:00:00.000000000,529.18,514.43782
2022-07-02T19:00:00.000000000,536.39,509.15275
2022-07-02T20:00:00.000000000,511.69,503.01214
2022-07-02T21:00:00.000000000,531.05,500.15813
2022-07-02T22:00:00.000000000,563.85,510.03457
2022-07-02T23:00:00.000000000,605.13,515.59718
2022-07-03T00:00:00.000000000,590.35,509.89852
2022-07-03T01:00:00.000000000,585.72,517.60245
2022-07-03T02:00:00.000000000,579.19,536.25999
2022-07-03T03:00:00.000000000,552.42,546.55881
2022-07-03T04:00:00.000000000,547.13,558.7111
2022-07-03T05:00:00.000000000,502.18,569.86136
2022-07-03T06:00:00.000000000,520.01,579.35575
2022-07-03T07:00:00.000000000,605.06,595.81612
2022-07-03T08:00:00.000000000,630.13,592.44402
2022-07-03T09:00:00.000000000,627.97,592.07925
2022-07-03T10:00:00.000000000,520.78,593.65294
2022-07-03T11:00:00.000000000,467.7,597.66769
2022-07-03T12:00:00.000000000,435.62,588.58964
2022-07-03T13:00:00.000000000,416.86,589.91215
2022-07-03T14:00:00.000000000,341.53,578.48943
2022-07-03T15:00:00.000000000,283.2,555.12664
2022-07-03T16:00:00.000000000,302.95,545.23579
2022-07-03T17:00:00.000000000,390.96,533.79819
2022-07-03T18:00:00.000000000,423.33,515.59043
2022-07-03T19:00:00.000000000,432.64,506.92592
2022-07-03T20:00:00.000000000,456.12,496.08598
2022-07-03T21:00:00.000000000,500.92,487.48732
2022-07-03T22:00:00.000000000,517.28,491.06249
2022-07-03T23:00:00.000000000,511.78,492.21606
2022-07-04T00:00:00.000000000,531.34,489.88193
2022-07-04T01:00:00.000000000,579.65,499.51557
2022-07-04T02:00:00.000000000,572.24,520.00773
2022-07-04T03:00:00.000000000,507.21,531.127
2022-07-04T04:00:00.000000000,515.45,543.07594
2022-07-04T05:00:00.000000000,536.72,554.36787
2022-07-04T06:00:00.000000000,549.9,564.86737
2022-07-04T07:00:00.000000000,522.41,582.02316
2022-07-04T08:00:00.000000000,472.66,580.59538
2022-07-04T09:00:00.000000000,517.77,581.41759
2022-07-04T10:00:00.000000000,454.24,584.03592
2022-07-04T11:00:00.000000000,454.24,588.73634
2022-07-04T12:00:00.000000000,460.55,580.609
2022-07-04T13:00:00.000000000,430.35,582.54862
2022-07-04T14:00:00.000000000,367.45,571.14923
2022-07-04T15:00:00.000000000,330.94,548.4499
2022-07-04T16:00:00.000000000,357.44,538.83122
2022-07-04T17:00:00.000000000,415.71,528.39511
2022-07-04T18:00:00.000000000,449.38,511.30677
2022-07-04T19:00:00.000000000,469.9,503.03613
2022-07-04T20:00:00.000000000,475.1,492.80647
2022-07-04T21:00:00.000000000,474.42,483.56421
2022-07-04T22:00:00.000000000,512.79,486.43372
2022-07-04T23:00:00.000000000,535.98,487.5553
2022-07-02T00:00:00.000000000,506.65,550.39786
2022-07-02T01:00:00.000000000,520.54,557.95929
2022-07-02T02:00:00.000000000,497.29,578.33956
2022-07-02T03:00:00.000000000,553.27,593.25398
2022-07-02T04:00:00.000000000,614.3,607.63035
2022-07-02T05:00:00.000000000,640.88,616.12459
2022-07-02T06:00:00.000000000,626.56,618.3817
2022-07-02T07:00:00.000000000,595.17,629.05919
2022-07-02T08:00:00.000000000,576.31,622.45843
2022-07-02T09:00:00.000000000,532.04,623.54693
2022-07-02T10:00:00.000000000,517.4,628.9713
2022-07-02T11:00:00.000000000,523.95,633.83825
2022-07-02T12:00:00.000000000,517.64,622.73593
2022-07-02T13:00:00.000000000,543.12,624.37235
2022-07-02T14:00:00.000000000,538.15,614.6816
2022-07-02T15:00:00.000000000,502.2,588.53948
2022-07-02T16:00:00.000000000,485.74,574.33918
2022-07-02T17:00:00.000000000,494.15,553.60035
2022-07-02T18:00:00.000000000,529.18,525.32254
2022-07-02T19:00:00.000000000,536.39,509.68521
2022-07-02T20:00:00.000000000,511.69,487.91069
2022-07-02T21:00:00.000000000,531.05,473.37145
2022-07-02T22:00:00.000000000,563.85,477.72114
2022-07-02T23:00:00.000000000,605.13,477.91496
2022-07-03T00:00:00.000000000,590.35,544.62726
2022-07-03T01:00:00.000000000,585.72,549.40945
2022-07-03T02:00:00.000000000,579.19,565.83054
2022-07-03T03:00:00.000000000,552.42,576.01484
2022-07-03T04:00:00.000000000,547.13,587.34909
2022-07-03T05:00:00.000000000,502.18,594.57691
2022-07-03T06:00:00.000000000,520.01,598.45945
2022-07-03T07:00:00.000000000,605.06,611.29866
2022-07-03T08:00:00.000000000,630.13,608.60152
2022-07-03T09:00:00.000000000,627.97,612.89156
2022-07-03T10:00:00.000000000,520.78,619.96234
2022-07-03T11:00:00.000000000,467.7,625.8619
2022-07-03T12:00:00.000000000,435.62,615.35748
2022-07-03T13:00:00.000000000,416.86,615.55342
2022-07-03T14:00:00.000000000,341.53,604.64288
2022-07-03T15:00:00.000000000,283.2,579.57015
2022-07-03T16:00:00.000000000,302.95,567.56464
2022-07-03T17:00:00.000000000,390.96,550.61537
2022-07-03T18:00:00.000000000,423.33,527.6887
2022-07-03T19:00:00.000000000,432.64,515.51408
2022-07-03T20:00:00.000000000,456.12,498.27832
2022-07-03T21:00:00.000000000,500.92,486.16293
2022-07-03T22:00:00.000000000,517.28,490.53482
2022-07-03T23:00:00.000000000,511.78,489.1459
2022-07-04T00:00:00.000000000,531.34,541.22666
2022-07-04T01:00:00.000000000,579.65,550.10403
2022-07-04T02:00:00.000000000,572.24,571.98689
2022-07-04T03:00:00.000000000,507.21,587.66908
2022-07-04T04:00:00.000000000,515.45,601.96515
2022-07-04T05:00:00.000000000,536.72,611.10901
2022-07-04T06:00:00.000000000,549.9,615.94014
2022-07-04T07:00:00.000000000,522.41,629.17274
2022-07-04T08:00:00.000000000,472.66,625.75193
2022-07-04T09:00:00.000000000,517.77,628.12847
2022-07-04T10:00:00.000000000,454.24,633.73557
2022-07-04T11:00:00.000000000,454.24,638.60223
2022-07-04T12:00:00.000000000,460.55,626.50479
2022-07-04T13:00:00.000000000,430.35,626.22679
2022-07-04T14:00:00.000000000,367.45,613.52295
2022-07-04T15:00:00.000000000,330.94,585.44587
2022-07-04T16:00:00.000000000,357.44,570.30002
2022-07-04T17:00:00.000000000,415.71,549.87143
2022-07-04T18:00:00.000000000,449.38,523.31331
2022-07-04T19:00:00.000000000,469.9,509.13325
2022-07-04T20:00:00.000000000,475.1,489.77063
2022-07-04T21:00:00.000000000,474.42,477.01173
2022-07-04T22:00:00.000000000,512.79,481.57427
2022-07-04T23:00:00.000000000,535.98,481.69807
2022-07-05T00:00:00.000000000,519.1,563.82223
2022-07-05T01:00:00.000000000,497.93,567.43489
2022-07-05T02:00:00.000000000,549.56,581.5785
2022-07-05T03:00:00.000000000,593.47,588.82302
2022-07-05T04:00:00.000000000,627.4,598.19732
2022-07-05T05:00:00.000000000,691.55,603.11942
2022-07-05T06:00:00.000000000,683.49,605.11624
2022-07-05T07:00:00.000000000,682.54,615.92365
2022-07-05T08:00:00.000000000,648.55,611.17233
2022-07-05T09:00:00.000000000,639.1,613.70823
2022-07-05T10:00:00.000000000,636.04,619.19932
2022-07-05T11:00:00.000000000,691.01,624.81388
2022-07-05T12:00:00.000000000,651.06,613.72643
2022-07-05T13:00:00.000000000,640.06,612.91147
2022-07-05T14:00:00.000000000,673.0,601.13152
2022-07-05T15:00:00.000000000,609.3,575.86668
2022-07-05T16:00:00.000000000,642.44,564.05412
2022-07-05T17:00:00.000000000,625.3,547.77802
2022-07-05T18:00:00.000000000,626.63,526.28067
2022-07-05T19:00:00.000000000,598.11,515.13003
2022-07-05T20:00:00.000000000,603.55,498.95191
2022-07-05T21:00:00.000000000,597.86,489.24471
2022-07-05T22:00:00.000000000,594.6,495.52319
2022-07-05T23:00:00.000000000,598.98,495.1603
2022-07-03T00:00:00.000000000,590.35,549.6193
2022-07-03T01:00:00.000000000,585.72,556.88919
2022-07-03T02:00:00.000000000,579.19,575.13982
2022-07-03T03:00:00.000000000,552.42,585.88645
2022-07-03T04:00:00.000000000,547.13,598.57754
2022-07-03T05:00:00.000000000,502.18,607.70279
2022-07-03T06:00:00.000000000,520.01,613.97236
2022-07-03T07:00:00.000000000,605.06,628.27034
2022-07-03T08:00:00.000000000,630.13,625.25133
2022-07-03T09:00:00.000000000,627.97,630.45335
2022-07-03T10:00:00.000000000,520.78,637.50006
2022-07-03T11:00:00.000000000,467.7,642.8197
2022-07-03T12:00:00.000000000,435.62,631.34208
2022-07-03T13:00:00.000000000,416.86,629.3553
2022-07-03T14:00:00.000000000,341.53,616.86003
2022-07-03T15:00:00.000000000,283.2,590.27346
2022-07-03T16:00:00.000000000,302.95,576.53531
2022-07-03T17:00:00.000000000,390.96,558.94257
2022-07-03T18:00:00.000000000,423.33,535.15424
2022-07-03T19:00:00.000000000,432.64,523.65567
2022-07-03T20:00:00.000000000,456.12,507.08833
2022-07-03T21:00:00.000000000,500.92,497.59615
2022-07-03T22:00:00.000000000,517.28,505.5123
2022-07-03T23:00:00.000000000,511.78,507.11232
2022-07-04T00:00:00.000000000,531.34,555.43838
2022-07-04T01:00:00.000000000,579.65,565.17386
2022-07-04T02:00:00.000000000,572.24,585.37444
2022-07-04T03:00:00.000000000,507.21,596.97694
2022-07-04T04:00:00.000000000,515.45,607.75369
2022-07-04T05:00:00.000000000,536.72,612.80317
2022-07-04T06:00:00.000000000,549.9,615.23785
2022-07-04T07:00:00.000000000,522.41,627.09678
2022-07-04T08:00:00.000000000,472.66,624.32736
2022-07-04T09:00:00.000000000,517.77,628.59758
2022-07-04T10:00:00.000000000,454.24,635.20363
2022-07-04T11:00:00.000000000,454.24,639.30835
2022-07-04T12:00:00.000000000,460.55,625.81646
2022-07-04T13:00:00.000000000,430.35,622.43593
2022-07-04T14:00:00.000000000,367.45,607.77044
2022-07-04T15:00:00.000000000,330.94,578.85282
2022-07-04T16:00:00.000000000,357.44,562.89309
2022-07-04T17:00:00.000000000,415.71,542.61779
2022-07-04T18:00:00.000000000,449.38,518.22085
2022-07-04T19:00:00.000000000,469.9,507.04139
2022-07-04T20:00:00.000000000,475.1,491.79107
2022-07-04T21:00:00.000000000,474.42,484.50909
2022-07-04T22:00:00.000000000,512.79,495.12598
2022-07-04T23:00:00.000000000,535.98,498.90867
2022-07-05T00:00:00.000000000,519.1,553.59389
2022-07-05T01:00:00.000000000,497.93,557.53883
2022-07-05T02:00:00.000000000,549.56,571.52728
2022-07-05T03:00:00.000000000,593.47,576.13114
2022-07-05T04:00:00.000000000,627.4,583.08238
2022-07-05T05:00:00.000000000,691.55,585.6127
2022-07-05T06:00:00.000000000,683.49,587.26978
2022-07-05T07:00:00.000000000,682.54,597.56818
2022-07-05T08:00:00.000000000,648.55,593.46167
2022-07-05T09:00:00.000000000,639.1,594.62207
2022-07-05T10:00:00.000000000,636.04,598.89086
2022-07-05T11:00:00.000000000,691.01,604.10313
2022-07-05T12:00:00.000000000,651.06,592.82211
2022-07-05T13:00:00.000000000,640.06,590.44237
2022-07-05T14:00:00.000000000,673.0,575.85722
2022-07-05T15:00:00.000000000,609.3,550.36216
2022-07-05T16:00:00.000000000,642.44,538.27097
2022-07-05T17:00:00.000000000,625.3,524.14515
2022-07-05T18:00:00.000000000,626.63,507.48054
2022-07-05T19:00:00.000000000,598.11,500.23398
2022-07-05T20:00:00.000000000,603.55,489.84257
2022-07-05T21:00:00.000000000,597.86,485.11899
2022-07-05T22:00:00.000000000,594.6,494.24129
2022-07-05T23:00:00.000000000,598.98,496.28321
2022-07-06T00:00:00.000000000,592.85,553.59377
2022-07-06T01:00:00.000000000,531.24,555.1373
2022-07-06T02:00:00.000000000,518.46,565.90322
2022-07-06T03:00:00.000000000,529.25,566.66175
2022-07-06T04:00:00.000000000,633.72,571.85218
2022-07-06T05:00:00.000000000,604.51,573.82717
2022-07-06T06:00:00.000000000,525.53,576.19645
2022-07-06T07:00:00.000000000,448.11,586.7656
2022-07-06T08:00:00.000000000,122.97,583.31239
2022-07-06T09:00:00.000000000,121.31,585.07853
2022-07-06T10:00:00.000000000,106.07,589.30238
2022-07-06T11:00:00.000000000,103.01,594.44745
2022-07-06T12:00:00.000000000,105.23,583.92108
2022-07-06T13:00:00.000000000,92.67,581.42113
2022-07-06T14:00:00.000000000,110.86,567.28447
2022-07-06T15:00:00.000000000,90.16,543.66539
2022-07-06T16:00:00.000000000,92.94,533.64312
2022-07-06T17:00:00.000000000,85.32,522.42466
2022-07-06T18:00:00.000000000,80.69,508.69551
2022-07-06T19:00:00.000000000,73.5,503.23462
2022-07-06T20:00:00.000000000,75.3,494.99252
2022-07-06T21:00:00.000000000,81.33,491.78236
2022-07-06T22:00:00.000000000,80.81,501.05136
2022-07-06T23:00:00.000000000,86.75,502.47751
2022-07-04T00:00:00.000000000,531.34,547.70563
2022-07-04T01:00:00.000000000,579.65,555.55951
2022-07-04T02:00:00.000000000,572.24,572.12293
2022-07-04T03:00:00.000000000,507.21,576.63499
2022-07-04T04:00:00.000000000,515.45,585.51148
2022-07-04T05:00:00.000000000,536.72,592.15015
2022-07-04T06:00:00.000000000,549.9,600.70923
2022-07-04T07:00:00.000000000,522.41,616.3671
2022-07-04T08:00:00.000000000,472.66,614.44813
2022-07-04T09:00:00.000000000,517.77,617.50067
2022-07-04T10:00:00.000000000,454.24,620.5348
2022-07-04T11:00:00.000000000,454.24,623.64586
2022-07-04T12:00:00.000000000,460.55,609.22729
2022-07-04T13:00:00.000000000,430.35,600.88106
2022-07-04T14:00:00.000000000,367.45,581.23789
2022-07-04T15:00:00.000000000,330.94,552.27929
2022-07-04T16:00:00.000000000,357.44,537.9983
2022-07-04T17:00:00.000000000,415.71,525.58596
2022-07-04T18:00:00.000000000,449.38,512.74916
2022-07-04T19:00:00.000000000,469.9,511.75434
2022-07-04T20:00:00.000000000,475.1,509.65389
2022-07-04T21:00:00.000000000,474.42,513.5041
