datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-01T00:00:00.000000000,107.63,125.64938
2022-07-01T01:00:00.000000000,117.26,137.43487
2022-07-01T02:00:00.000000000,117.55,147.24775
2022-07-01T03:00:00.000000000,122.46,149.35756
2022-07-01T04:00:00.000000000,128.0,151.2918
2022-07-01T05:00:00.000000000,128.93,155.0046
2022-07-01T06:00:00.000000000,160.08,159.23188
2022-07-01T07:00:00.000000000,159.35,158.16723
2022-07-01T08:00:00.000000000,159.49,155.99212
2022-07-01T09:00:00.000000000,159.49,157.11736
2022-07-01T10:00:00.000000000,159.78,153.368
2022-07-01T11:00:00.000000000,157.34,152.97928
2022-07-01T12:00:00.000000000,157.9,149.29639
2022-07-01T13:00:00.000000000,156.75,144.78634
2022-07-01T14:00:00.000000000,156.62,138.15434
2022-07-01T15:00:00.000000000,149.81,132.95669
2022-07-01T16:00:00.000000000,149.06,131.41591
2022-07-01T17:00:00.000000000,162.62,129.34391
2022-07-01T18:00:00.000000000,150.24,128.95949
2022-07-01T19:00:00.000000000,121.22,126.7435
2022-07-01T20:00:00.000000000,119.7,114.21072
2022-07-01T21:00:00.000000000,119.35,110.47469
2022-07-01T22:00:00.000000000,119.47,108.72338
2022-07-01T23:00:00.000000000,119.18,117.13015
2022-07-02T00:00:00.000000000,123.24,124.79151
2022-07-02T01:00:00.000000000,145.44,135.99019
2022-07-02T02:00:00.000000000,144.39,145.22393
2022-07-02T03:00:00.000000000,150.84,146.74108
2022-07-02T04:00:00.000000000,154.68,148.1371
2022-07-02T05:00:00.000000000,157.74,151.23405
2022-07-02T06:00:00.000000000,157.31,155.29381
2022-07-02T07:00:00.000000000,157.66,154.29203
2022-07-02T08:00:00.000000000,157.48,152.29793
2022-07-02T09:00:00.000000000,157.82,153.48551
2022-07-02T10:00:00.000000000,158.51,149.60162
2022-07-02T11:00:00.000000000,158.0,149.09587
2022-07-02T12:00:00.000000000,148.86,145.31901
2022-07-02T13:00:00.000000000,141.6,140.96862
2022-07-02T14:00:00.000000000,141.07,134.46258
2022-07-02T15:00:00.000000000,135.94,129.20298
2022-07-02T16:00:00.000000000,129.62,127.49213
2022-07-02T17:00:00.000000000,130.2,125.56857
2022-07-02T18:00:00.000000000,126.98,125.5706
2022-07-02T19:00:00.000000000,125.43,123.84724
2022-07-02T20:00:00.000000000,117.02,112.31083
2022-07-02T21:00:00.000000000,112.56,109.31414
2022-07-02T22:00:00.000000000,113.75,108.08147
2022-07-02T23:00:00.000000000,124.22,116.4957
2022-07-03T00:00:00.000000000,124.48,111.26051
2022-07-03T01:00:00.000000000,123.51,118.3993
2022-07-03T02:00:00.000000000,124.69,125.26428
2022-07-03T03:00:00.000000000,123.6,125.66051
2022-07-03T04:00:00.000000000,140.94,126.54015
2022-07-03T05:00:00.000000000,148.36,128.66688
2022-07-03T06:00:00.000000000,154.68,132.67244
2022-07-03T07:00:00.000000000,154.19,131.99286
2022-07-03T08:00:00.000000000,155.0,130.77037
2022-07-03T09:00:00.000000000,153.84,132.83137
2022-07-03T10:00:00.000000000,155.16,129.57813
2022-07-03T11:00:00.000000000,156.0,129.57124
2022-07-03T12:00:00.000000000,147.27,125.43334
2022-07-03T13:00:00.000000000,149.1,120.57504
2022-07-03T14:00:00.000000000,148.59,113.68441
2022-07-03T15:00:00.000000000,148.95,108.75741
2022-07-03T16:00:00.000000000,141.73,107.7698
2022-07-03T17:00:00.000000000,133.03,108.58764
2022-07-03T18:00:00.000000000,131.2,111.53642
2022-07-03T19:00:00.000000000,124.69,112.31731
2022-07-03T20:00:00.000000000,117.74,103.61427
2022-07-03T21:00:00.000000000,113.56,102.24762
2022-07-03T22:00:00.000000000,114.13,101.0132
2022-07-03T23:00:00.000000000,122.94,107.33227
2022-07-04T00:00:00.000000000,124.15,107.5454
2022-07-04T01:00:00.000000000,124.05,115.1342
2022-07-04T02:00:00.000000000,123.6,122.45008
2022-07-04T03:00:00.000000000,123.41,122.34243
2022-07-04T04:00:00.000000000,128.83,122.66371
2022-07-04T05:00:00.000000000,141.7,124.52647
2022-07-04T06:00:00.000000000,146.91,128.18479
2022-07-04T07:00:00.000000000,148.07,127.2385
2022-07-04T08:00:00.000000000,145.55,125.60167
2022-07-04T09:00:00.000000000,146.34,127.01046
2022-07-04T10:00:00.000000000,146.77,122.95748
2022-07-04T11:00:00.000000000,146.34,122.43267
2022-07-04T12:00:00.000000000,139.91,118.15042
2022-07-04T13:00:00.000000000,140.65,113.73351
2022-07-04T14:00:00.000000000,141.04,107.61259
2022-07-04T15:00:00.000000000,135.83,103.19775
2022-07-04T16:00:00.000000000,129.25,102.38697
2022-07-04T17:00:00.000000000,128.36,102.97612
2022-07-04T18:00:00.000000000,126.25,106.04715
2022-07-04T19:00:00.000000000,121.93,106.35753
2022-07-04T20:00:00.000000000,109.46,97.80863
2022-07-04T21:00:00.000000000,94.19,96.79642
2022-07-04T22:00:00.000000000,91.95,95.90078
2022-07-04T23:00:00.000000000,103.14,102.88316
2022-07-02T00:00:00.000000000,123.24,130.10804
2022-07-02T01:00:00.000000000,145.44,141.27562
2022-07-02T02:00:00.000000000,144.39,150.19739
2022-07-02T03:00:00.000000000,150.84,152.01226
2022-07-02T04:00:00.000000000,154.68,153.58085
2022-07-02T05:00:00.000000000,157.74,156.42264
2022-07-02T06:00:00.000000000,157.31,160.64956
2022-07-02T07:00:00.000000000,157.66,160.03462
2022-07-02T08:00:00.000000000,157.48,158.68151
2022-07-02T09:00:00.000000000,157.82,160.74096
2022-07-02T10:00:00.000000000,158.51,157.73355
2022-07-02T11:00:00.000000000,158.0,157.80535
2022-07-02T12:00:00.000000000,148.86,154.26331
2022-07-02T13:00:00.000000000,141.6,149.75083
2022-07-02T14:00:00.000000000,141.07,142.47949
2022-07-02T15:00:00.000000000,135.94,136.28456
2022-07-02T16:00:00.000000000,129.62,133.84091
2022-07-02T17:00:00.000000000,130.2,131.55213
2022-07-02T18:00:00.000000000,126.98,130.98061
2022-07-02T19:00:00.000000000,125.43,129.62906
2022-07-02T20:00:00.000000000,117.02,118.15583
2022-07-02T21:00:00.000000000,112.56,115.11484
2022-07-02T22:00:00.000000000,113.75,113.86424
2022-07-02T23:00:00.000000000,124.22,121.96363
2022-07-03T00:00:00.000000000,124.48,117.40693
2022-07-03T01:00:00.000000000,123.51,123.38104
2022-07-03T02:00:00.000000000,124.69,128.70989
2022-07-03T03:00:00.000000000,123.6,128.22763
2022-07-03T04:00:00.000000000,140.94,128.30652
2022-07-03T05:00:00.000000000,148.36,129.02333
2022-07-03T06:00:00.000000000,154.68,132.50976
2022-07-03T07:00:00.000000000,154.19,131.2004
2022-07-03T08:00:00.000000000,155.0,129.80302
2022-07-03T09:00:00.000000000,153.84,131.92158
2022-07-03T10:00:00.000000000,155.16,128.47512
2022-07-03T11:00:00.000000000,156.0,128.75081
2022-07-03T12:00:00.000000000,147.27,124.63796
2022-07-03T13:00:00.000000000,149.1,120.18835
2022-07-03T14:00:00.000000000,148.59,113.01482
2022-07-03T15:00:00.000000000,148.95,107.47296
2022-07-03T16:00:00.000000000,141.73,105.54097
2022-07-03T17:00:00.000000000,133.03,106.7944
2022-07-03T18:00:00.000000000,131.2,110.63418
2022-07-03T19:00:00.000000000,124.69,112.8979
2022-07-03T20:00:00.000000000,117.74,106.39009
2022-07-03T21:00:00.000000000,113.56,106.8887
2022-07-03T22:00:00.000000000,114.13,107.32924
2022-07-03T23:00:00.000000000,122.94,113.65549
2022-07-04T00:00:00.000000000,124.15,108.68722
2022-07-04T01:00:00.000000000,124.05,113.45159
2022-07-04T02:00:00.000000000,123.6,118.38893
2022-07-04T03:00:00.000000000,123.41,117.15486
2022-07-04T04:00:00.000000000,128.83,116.57661
2022-07-04T05:00:00.000000000,141.7,116.59676
2022-07-04T06:00:00.000000000,146.91,119.69847
2022-07-04T07:00:00.000000000,148.07,118.12653
2022-07-04T08:00:00.000000000,145.55,116.60997
2022-07-04T09:00:00.000000000,146.34,118.45538
2022-07-04T10:00:00.000000000,146.77,114.56983
2022-07-04T11:00:00.000000000,146.34,114.88075
2022-07-04T12:00:00.000000000,139.91,110.67887
2022-07-04T13:00:00.000000000,140.65,106.76915
2022-07-04T14:00:00.000000000,141.04,100.22663
2022-07-04T15:00:00.000000000,135.83,95.43
2022-07-04T16:00:00.000000000,129.25,93.80397
2022-07-04T17:00:00.000000000,128.36,96.13765
2022-07-04T18:00:00.000000000,126.25,101.33844
2022-07-04T19:00:00.000000000,121.93,104.16144
2022-07-04T20:00:00.000000000,109.46,98.60736
2022-07-04T21:00:00.000000000,94.19,100.01643
2022-07-04T22:00:00.000000000,91.95,100.77111
2022-07-04T23:00:00.000000000,103.14,106.69439
2022-07-05T00:00:00.000000000,121.19,117.85182
2022-07-05T01:00:00.000000000,122.28,128.01385
2022-07-05T02:00:00.000000000,122.28,136.74883
2022-07-05T03:00:00.000000000,124.15,137.47599
2022-07-05T04:00:00.000000000,128.83,138.30172
2022-07-05T05:00:00.000000000,142.45,140.97181
2022-07-05T06:00:00.000000000,166.76,144.71728
2022-07-05T07:00:00.000000000,167.42,143.46414
2022-07-05T08:00:00.000000000,167.53,141.21816
2022-07-05T09:00:00.000000000,165.15,141.96428
2022-07-05T10:00:00.000000000,159.35,137.47701
2022-07-05T11:00:00.000000000,158.62,136.60042
2022-07-05T12:00:00.000000000,158.33,132.54937
2022-07-05T13:00:00.000000000,158.91,128.39404
2022-07-05T14:00:00.000000000,157.04,122.48225
2022-07-05T15:00:00.000000000,154.68,117.88923
2022-07-05T16:00:00.000000000,148.99,116.69032
2022-07-05T17:00:00.000000000,157.07,115.53856
2022-07-05T18:00:00.000000000,134.61,116.71583
2022-07-05T19:00:00.000000000,115.17,115.4665
2022-07-05T20:00:00.000000000,116.0,105.02563
2022-07-05T21:00:00.000000000,116.63,102.86188
2022-07-05T22:00:00.000000000,116.15,101.98161
2022-07-05T23:00:00.000000000,116.31,110.26701
2022-07-03T00:00:00.000000000,124.48,110.15005
2022-07-03T01:00:00.000000000,123.51,112.22284
2022-07-03T02:00:00.000000000,124.69,115.53261
2022-07-03T03:00:00.000000000,123.6,115.05337
2022-07-03T04:00:00.000000000,140.94,115.56897
2022-07-03T05:00:00.000000000,148.36,115.8988
2022-07-03T06:00:00.000000000,154.68,119.28979
2022-07-03T07:00:00.000000000,154.19,117.76185
2022-07-03T08:00:00.000000000,155.0,116.60733
2022-07-03T09:00:00.000000000,153.84,119.06865
2022-07-03T10:00:00.000000000,155.16,116.57611
2022-07-03T11:00:00.000000000,156.0,118.39462
2022-07-03T12:00:00.000000000,147.27,114.85519
2022-07-03T13:00:00.000000000,149.1,111.03362
2022-07-03T14:00:00.000000000,148.59,103.90679
2022-07-03T15:00:00.000000000,148.95,99.38022
2022-07-03T16:00:00.000000000,141.73,98.02884
2022-07-03T17:00:00.000000000,133.03,101.7899
2022-07-03T18:00:00.000000000,131.2,108.04127
2022-07-03T19:00:00.000000000,124.69,112.14981
2022-07-03T20:00:00.000000000,117.74,106.54905
2022-07-03T21:00:00.000000000,113.56,107.73845
2022-07-03T22:00:00.000000000,114.13,108.20303
2022-07-03T23:00:00.000000000,122.94,111.84316
2022-07-04T00:00:00.000000000,124.15,98.61803
2022-07-04T01:00:00.000000000,124.05,99.63274
2022-07-04T02:00:00.000000000,123.6,102.87252
2022-07-04T03:00:00.000000000,123.41,101.79493
2022-07-04T04:00:00.000000000,128.83,101.80342
2022-07-04T05:00:00.000000000,141.7,101.55109
2022-07-04T06:00:00.000000000,146.91,104.82189
2022-07-04T07:00:00.000000000,148.07,103.36187
2022-07-04T08:00:00.000000000,145.55,102.39231
2022-07-04T09:00:00.000000000,146.34,104.9603
2022-07-04T10:00:00.000000000,146.77,102.34707
2022-07-04T11:00:00.000000000,146.34,104.54174
2022-07-04T12:00:00.000000000,139.91,100.96605
2022-07-04T13:00:00.000000000,140.65,97.66324
2022-07-04T14:00:00.000000000,141.04,90.84968
2022-07-04T15:00:00.000000000,135.83,86.56365
2022-07-04T16:00:00.000000000,129.25,85.02327
2022-07-04T17:00:00.000000000,128.36,89.46418
2022-07-04T18:00:00.000000000,126.25,96.52692
2022-07-04T19:00:00.000000000,121.93,100.96472
2022-07-04T20:00:00.000000000,109.46,96.06071
2022-07-04T21:00:00.000000000,94.19,98.37793
2022-07-04T22:00:00.000000000,91.95,99.17777
2022-07-04T23:00:00.000000000,103.14,102.59615
2022-07-05T00:00:00.000000000,121.19,106.48527
2022-07-05T01:00:00.000000000,122.28,113.9037
2022-07-05T02:00:00.000000000,122.28,121.06663
2022-07-05T03:00:00.000000000,124.15,120.57745
2022-07-05T04:00:00.000000000,128.83,120.48931
2022-07-05T05:00:00.000000000,142.45,121.91125
2022-07-05T06:00:00.000000000,166.76,125.39421
2022-07-05T07:00:00.000000000,167.42,124.40273
2022-07-05T08:00:00.000000000,167.53,122.81245
2022-07-05T09:00:00.000000000,165.15,124.1933
2022-07-05T10:00:00.000000000,159.35,119.97179
2022-07-05T11:00:00.000000000,158.62,119.37841
2022-07-05T12:00:00.000000000,158.33,115.05056
2022-07-05T13:00:00.000000000,158.91,110.8552
2022-07-05T14:00:00.000000000,157.04,104.89769
2022-07-05T15:00:00.000000000,154.68,100.46341
2022-07-05T16:00:00.000000000,148.99,99.47229
2022-07-05T17:00:00.000000000,157.07,100.04254
2022-07-05T18:00:00.000000000,134.61,103.24499
2022-07-05T19:00:00.000000000,115.17,103.67497
2022-07-05T20:00:00.000000000,116.0,95.61967
2022-07-05T21:00:00.000000000,116.63,95.11327
2022-07-05T22:00:00.000000000,116.15,94.59784
2022-07-05T23:00:00.000000000,116.31,101.76423
2022-07-06T00:00:00.000000000,116.56,107.34011
2022-07-06T01:00:00.000000000,147.43,115.55948
2022-07-06T02:00:00.000000000,142.56,123.39022
2022-07-06T03:00:00.000000000,143.33,123.36852
2022-07-06T04:00:00.000000000,155.73,123.76888
2022-07-06T05:00:00.000000000,163.0,125.9652
2022-07-06T06:00:00.000000000,170.44,129.52279
2022-07-06T07:00:00.000000000,172.35,128.25302
2022-07-06T08:00:00.000000000,173.33,126.09623
