datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-01T00:00:00.000000000,441.12,478.42913
2022-07-01T01:00:00.000000000,432.77,470.5019
2022-07-01T02:00:00.000000000,409.37,461.58706
2022-07-01T03:00:00.000000000,383.34,453.55424
2022-07-01T04:00:00.000000000,364.61,446.37673
2022-07-01T05:00:00.000000000,345.85,441.10022
2022-07-01T06:00:00.000000000,331.74,438.84113
2022-07-01T07:00:00.000000000,325.67,439.79267
2022-07-01T08:00:00.000000000,332.61,445.10425
2022-07-01T09:00:00.000000000,332.94,454.27129
2022-07-01T10:00:00.000000000,352.39,465.78598
2022-07-01T11:00:00.000000000,393.94,478.17751
2022-07-01T12:00:00.000000000,415.54,492.96335
2022-07-01T13:00:00.000000000,442.83,508.28282
2022-07-01T14:00:00.000000000,483.4,522.13321
2022-07-01T15:00:00.000000000,496.84,533.40223
2022-07-01T16:00:00.000000000,512.12,540.9167
2022-07-01T17:00:00.000000000,514.37,546.44547
2022-07-01T18:00:00.000000000,517.29,549.42574
2022-07-01T19:00:00.000000000,518.88,549.55231
2022-07-01T20:00:00.000000000,521.87,546.46125
2022-07-01T21:00:00.000000000,524.27,540.23035
2022-07-01T22:00:00.000000000,521.99,531.50539
2022-07-01T23:00:00.000000000,506.78,521.39574
2022-07-02T00:00:00.000000000,484.14,536.75157
2022-07-02T01:00:00.000000000,466.07,528.70911
2022-07-02T02:00:00.000000000,453.95,519.4361
2022-07-02T03:00:00.000000000,438.82,510.22574
2022-07-02T04:00:00.000000000,420.34,501.34481
2022-07-02T05:00:00.000000000,400.17,494.1994
2022-07-02T06:00:00.000000000,386.3,489.3226
2022-07-02T07:00:00.000000000,368.17,487.23478
2022-07-02T08:00:00.000000000,357.84,489.16447
2022-07-02T09:00:00.000000000,402.55,494.23796
2022-07-02T10:00:00.000000000,434.86,501.22572
2022-07-02T11:00:00.000000000,488.01,508.37299
2022-07-02T12:00:00.000000000,532.18,517.36554
2022-07-02T13:00:00.000000000,553.36,526.48135
2022-07-02T14:00:00.000000000,567.71,534.27773
2022-07-02T15:00:00.000000000,562.77,540.35089
2022-07-02T16:00:00.000000000,560.73,543.63503
2022-07-02T17:00:00.000000000,558.87,545.90006
2022-07-02T18:00:00.000000000,561.14,545.81379
2022-07-02T19:00:00.000000000,559.18,543.50195
2022-07-02T20:00:00.000000000,556.18,539.35743
2022-07-02T21:00:00.000000000,550.52,533.72731
2022-07-02T22:00:00.000000000,543.9,527.22519
2022-07-02T23:00:00.000000000,537.3,520.54172
2022-07-03T00:00:00.000000000,529.9,505.61721
2022-07-03T01:00:00.000000000,509.16,499.95711
2022-07-03T02:00:00.000000000,482.62,493.63686
2022-07-03T03:00:00.000000000,459.35,487.50507
2022-07-03T04:00:00.000000000,441.6,480.7981
2022-07-03T05:00:00.000000000,417.58,474.1101
2022-07-03T06:00:00.000000000,402.86,467.4503
2022-07-03T07:00:00.000000000,413.49,461.17263
2022-07-03T08:00:00.000000000,441.09,457.40069
2022-07-03T09:00:00.000000000,465.31,456.45065
2022-07-03T10:00:00.000000000,488.98,457.62717
2022-07-03T11:00:00.000000000,489.32,460.00406
2022-07-03T12:00:00.000000000,482.45,464.5253
2022-07-03T13:00:00.000000000,489.25,469.10085
2022-07-03T14:00:00.000000000,500.36,472.86844
2022-07-03T15:00:00.000000000,509.19,476.35293
2022-07-03T16:00:00.000000000,515.0,478.77273
2022-07-03T17:00:00.000000000,508.13,481.67754
2022-07-03T18:00:00.000000000,501.35,483.85072
2022-07-03T19:00:00.000000000,491.0,485.25198
2022-07-03T20:00:00.000000000,485.06,485.60713
2022-07-03T21:00:00.000000000,467.12,484.60722
2022-07-03T22:00:00.000000000,445.84,481.98986
2022-07-03T23:00:00.000000000,429.31,478.49097
2022-07-04T00:00:00.000000000,419.18,481.42816
2022-07-04T01:00:00.000000000,398.87,466.65438
2022-07-04T02:00:00.000000000,373.61,448.15855
2022-07-04T03:00:00.000000000,358.78,428.55378
2022-07-04T04:00:00.000000000,337.32,409.3722
2022-07-04T05:00:00.000000000,318.44,392.76583
2022-07-04T06:00:00.000000000,299.5,380.22125
2022-07-04T07:00:00.000000000,284.73,372.37485
2022-07-04T08:00:00.000000000,277.73,370.32634
2022-07-04T09:00:00.000000000,273.75,373.29209
2022-07-04T10:00:00.000000000,285.5,379.96584
2022-07-04T11:00:00.000000000,299.82,389.24393
2022-07-04T12:00:00.000000000,294.78,402.08592
2022-07-04T13:00:00.000000000,324.39,416.04385
2022-07-04T14:00:00.000000000,365.55,429.57067
2022-07-04T15:00:00.000000000,362.35,441.85048
2022-07-04T16:00:00.000000000,370.7,451.4736
2022-07-04T17:00:00.000000000,390.01,458.3798
2022-07-04T18:00:00.000000000,413.8,461.18835
2022-07-04T19:00:00.000000000,425.86,460.62242
2022-07-04T20:00:00.000000000,430.31,457.77249
2022-07-04T21:00:00.000000000,429.71,453.5573
2022-07-04T22:00:00.000000000,428.03,448.47514
2022-07-04T23:00:00.000000000,427.76,443.04623
2022-07-02T00:00:00.000000000,484.14,523.3713
2022-07-02T01:00:00.000000000,466.07,515.11227
2022-07-02T02:00:00.000000000,453.95,505.49155
2022-07-02T03:00:00.000000000,438.82,496.11193
2022-07-02T04:00:00.000000000,420.34,487.15806
2022-07-02T05:00:00.000000000,400.17,479.99656
2022-07-02T06:00:00.000000000,386.3,475.50395
2022-07-02T07:00:00.000000000,368.17,474.32758
2022-07-02T08:00:00.000000000,357.84,477.73192
2022-07-02T09:00:00.000000000,402.55,485.04329
2022-07-02T10:00:00.000000000,434.86,494.76009
2022-07-02T11:00:00.000000000,488.01,505.01452
2022-07-02T12:00:00.000000000,532.18,517.2315
2022-07-02T13:00:00.000000000,553.36,529.64571
2022-07-02T14:00:00.000000000,567.71,540.58136
2022-07-02T15:00:00.000000000,562.77,549.2034
2022-07-02T16:00:00.000000000,560.73,554.42041
2022-07-02T17:00:00.000000000,558.87,558.16544
2022-07-02T18:00:00.000000000,561.14,559.39173
2022-07-02T19:00:00.000000000,559.18,557.84315
2022-07-02T20:00:00.000000000,556.18,553.44478
2022-07-02T21:00:00.000000000,550.52,546.2841
2022-07-02T22:00:00.000000000,543.9,537.03842
2022-07-02T23:00:00.000000000,537.3,526.78714
2022-07-03T00:00:00.000000000,529.9,521.45575
2022-07-03T01:00:00.000000000,509.16,515.73707
2022-07-03T02:00:00.000000000,482.62,509.51884
2022-07-03T03:00:00.000000000,459.35,503.46152
2022-07-03T04:00:00.000000000,441.6,497.33517
2022-07-03T05:00:00.000000000,417.58,492.22618
2022-07-03T06:00:00.000000000,402.86,488.11772
2022-07-03T07:00:00.000000000,413.49,485.40141
2022-07-03T08:00:00.000000000,441.09,485.77042
2022-07-03T09:00:00.000000000,465.31,488.84233
2022-07-03T10:00:00.000000000,488.98,493.22641
2022-07-03T11:00:00.000000000,489.32,497.36013
2022-07-03T12:00:00.000000000,482.45,502.304
2022-07-03T13:00:00.000000000,489.25,506.23464
2022-07-03T14:00:00.000000000,500.36,508.49367
2022-07-03T15:00:00.000000000,509.19,509.89958
2022-07-03T16:00:00.000000000,515.0,509.84719
2022-07-03T17:00:00.000000000,508.13,509.8062
2022-07-03T18:00:00.000000000,501.35,508.27367
2022-07-03T19:00:00.000000000,491.0,505.33825
2022-07-03T20:00:00.000000000,485.06,501.47741
2022-07-03T21:00:00.000000000,467.12,496.93129
2022-07-03T22:00:00.000000000,445.84,491.76037
2022-07-03T23:00:00.000000000,429.31,486.63911
2022-07-04T00:00:00.000000000,419.18,468.79647
2022-07-04T01:00:00.000000000,398.87,457.36513
2022-07-04T02:00:00.000000000,373.61,443.99144
2022-07-04T03:00:00.000000000,358.78,430.89694
2022-07-04T04:00:00.000000000,337.32,418.41198
2022-07-04T05:00:00.000000000,318.44,407.77216
2022-07-04T06:00:00.000000000,299.5,399.67563
2022-07-04T07:00:00.000000000,284.73,394.58993
2022-07-04T08:00:00.000000000,277.73,393.90205
2022-07-04T09:00:00.000000000,273.75,397.3706
2022-07-04T10:00:00.000000000,285.5,403.8558
2022-07-04T11:00:00.000000000,299.82,412.30234
2022-07-04T12:00:00.000000000,294.78,423.48023
2022-07-04T13:00:00.000000000,324.39,435.03603
2022-07-04T14:00:00.000000000,365.55,445.46546
2022-07-04T15:00:00.000000000,362.35,454.23426
2022-07-04T16:00:00.000000000,370.7,460.33382
2022-07-04T17:00:00.000000000,390.01,464.61055
2022-07-04T18:00:00.000000000,413.8,466.26424
2022-07-04T19:00:00.000000000,425.86,465.90151
2022-07-04T20:00:00.000000000,430.31,463.96672
2022-07-04T21:00:00.000000000,429.71,460.66613
2022-07-04T22:00:00.000000000,428.03,456.01722
2022-07-04T23:00:00.000000000,427.76,450.61058
2022-07-05T00:00:00.000000000,426.11,441.70255
2022-07-05T01:00:00.000000000,423.91,426.14238
2022-07-05T02:00:00.000000000,408.71,408.08791
2022-07-05T03:00:00.000000000,379.2,391.05905
2022-07-05T04:00:00.000000000,353.45,376.20248
2022-07-05T05:00:00.000000000,333.65,364.97404
2022-07-05T06:00:00.000000000,322.0,358.70059
2022-07-05T07:00:00.000000000,316.73,357.10793
2022-07-05T08:00:00.000000000,311.16,360.99492
2022-07-05T09:00:00.000000000,293.9,369.19539
2022-07-05T10:00:00.000000000,286.85,379.97916
2022-07-05T11:00:00.000000000,287.15,392.71707
2022-07-05T12:00:00.000000000,288.53,408.56688
2022-07-05T13:00:00.000000000,335.0,425.21038
2022-07-05T14:00:00.000000000,400.19,441.0851
2022-07-05T15:00:00.000000000,416.45,455.11543
2022-07-05T16:00:00.000000000,420.74,465.65459
2022-07-05T17:00:00.000000000,439.52,472.51293
2022-07-05T18:00:00.000000000,449.26,475.04384
2022-07-05T19:00:00.000000000,447.78,473.87552
2022-07-05T20:00:00.000000000,442.41,470.38689
2022-07-05T21:00:00.000000000,439.96,465.67046
2022-07-05T22:00:00.000000000,430.06,459.66731
2022-07-05T23:00:00.000000000,427.31,452.68384
2022-07-03T00:00:00.000000000,529.9,550.24868
2022-07-03T01:00:00.000000000,509.16,545.9844
2022-07-03T02:00:00.000000000,482.62,540.90776
2022-07-03T03:00:00.000000000,459.35,535.36255
2022-07-03T04:00:00.000000000,441.6,529.23202
2022-07-03T05:00:00.000000000,417.58,523.70986
2022-07-03T06:00:00.000000000,402.86,518.7358
2022-07-03T07:00:00.000000000,413.49,514.92032
2022-07-03T08:00:00.000000000,441.09,513.92738
2022-07-03T09:00:00.000000000,465.31,515.23613
2022-07-03T10:00:00.000000000,488.98,517.75531
2022-07-03T11:00:00.000000000,489.32,519.72575
2022-07-03T12:00:00.000000000,482.45,522.86025
2022-07-03T13:00:00.000000000,489.25,525.57905
2022-07-03T14:00:00.000000000,500.36,527.23719
2022-07-03T15:00:00.000000000,509.19,528.51198
2022-07-03T16:00:00.000000000,515.0,528.79568
2022-07-03T17:00:00.000000000,508.13,529.85386
2022-07-03T18:00:00.000000000,501.35,529.73792
2022-07-03T19:00:00.000000000,491.0,528.36453
2022-07-03T20:00:00.000000000,485.06,525.96901
2022-07-03T21:00:00.000000000,467.12,522.61114
2022-07-03T22:00:00.000000000,445.84,518.62265
2022-07-03T23:00:00.000000000,429.31,514.63032
2022-07-04T00:00:00.000000000,419.18,499.44864
2022-07-04T01:00:00.000000000,398.87,491.85513
2022-07-04T02:00:00.000000000,373.61,483.42041
2022-07-04T03:00:00.000000000,358.78,475.609
2022-07-04T04:00:00.000000000,337.32,467.72573
2022-07-04T05:00:00.000000000,318.44,460.35306
2022-07-04T06:00:00.000000000,299.5,453.71945
2022-07-04T07:00:00.000000000,284.73,448.43295
2022-07-04T08:00:00.000000000,277.73,446.70811
2022-07-04T09:00:00.000000000,273.75,448.38221
2022-07-04T10:00:00.000000000,285.5,452.32824
2022-07-04T11:00:00.000000000,299.82,457.44254
2022-07-04T12:00:00.000000000,294.78,464.64931
2022-07-04T13:00:00.000000000,324.39,471.67557
2022-07-04T14:00:00.000000000,365.55,477.57448
2022-07-04T15:00:00.000000000,362.35,482.63567
2022-07-04T16:00:00.000000000,370.7,485.9879
2022-07-04T17:00:00.000000000,390.01,489.20095
2022-07-04T18:00:00.000000000,413.8,491.24865
2022-07-04T19:00:00.000000000,425.86,492.30356
2022-07-04T20:00:00.000000000,430.31,492.48729
2022-07-04T21:00:00.000000000,429.71,491.77843
2022-07-04T22:00:00.000000000,428.03,489.90324
2022-07-04T23:00:00.000000000,427.76,487.33056
2022-07-05T00:00:00.000000000,426.11,486.6184
2022-07-05T01:00:00.000000000,423.91,473.85007
2022-07-05T02:00:00.000000000,408.71,458.68667
2022-07-05T03:00:00.000000000,379.2,443.79076
2022-07-05T04:00:00.000000000,353.45,429.85866
2022-07-05T05:00:00.000000000,333.65,418.25004
2022-07-05T06:00:00.000000000,322.0,410.14194
2022-07-05T07:00:00.000000000,316.73,405.71495
2022-07-05T08:00:00.000000000,311.16,406.42371
2022-07-05T09:00:00.000000000,293.9,411.57026
2022-07-05T10:00:00.000000000,286.85,419.75596
2022-07-05T11:00:00.000000000,287.15,429.96062
2022-07-05T12:00:00.000000000,288.53,443.35418
2022-07-05T13:00:00.000000000,335.0,457.43153
2022-07-05T14:00:00.000000000,400.19,470.64917
2022-07-05T15:00:00.000000000,416.45,482.29379
2022-07-05T16:00:00.000000000,420.74,491.02979
2022-07-05T17:00:00.000000000,439.52,497.46503
2022-07-05T18:00:00.000000000,449.26,500.55146
2022-07-05T19:00:00.000000000,447.78,500.7513
2022-07-05T20:00:00.000000000,442.41,498.99717
2022-07-05T21:00:00.000000000,439.96,496.10221
2022-07-05T22:00:00.000000000,430.06,492.04392
2022-07-05T23:00:00.000000000,427.31,487.07506
2022-07-06T00:00:00.000000000,432.77,488.82697
2022-07-06T01:00:00.000000000,434.18,474.96805
2022-07-06T02:00:00.000000000,421.41,458.6317
2022-07-06T03:00:00.000000000,392.56,442.59651
2022-07-06T04:00:00.000000000,375.05,428.09517
2022-07-06T05:00:00.000000000,356.08,417.07749
2022-07-06T06:00:00.000000000,349.53,410.86042
2022-07-06T07:00:00.000000000,349.19,409.51737
2022-07-06T08:00:00.000000000,343.24,413.88507
2022-07-06T09:00:00.000000000,341.4,422.92113
2022-07-06T10:00:00.000000000,335.3,434.82971
2022-07-06T11:00:00.000000000,349.89,448.33069
2022-07-06T12:00:00.000000000,372.47,464.877
2022-07-06T13:00:00.000000000,416.56,482.0109
2022-07-06T14:00:00.000000000,466.82,497.63372
2022-07-06T15:00:00.000000000,478.03,510.59313
2022-07-06T16:00:00.000000000,480.05,519.77423
2022-07-06T17:00:00.000000000,493.94,525.83593
2022-07-06T18:00:00.000000000,509.28,527.70921
2022-07-06T19:00:00.000000000,516.48,525.85948
2022-07-06T20:00:00.000000000,507.03,521.5355
2022-07-06T21:00:00.000000000,499.34,515.78712
2022-07-06T22:00:00.000000000,486.59,508.93931
2022-07-06T23:00:00.000000000,480.01,501.22563
2022-07-04T00:00:00.000000000,419.18,416.14683
2022-07-04T01:00:00.000000000,398.87,405.20197
2022-07-04T02:00:00.000000000,373.61,392.24751
2022-07-04T03:00:00.000000000,358.78,380.68526
2022-07-04T04:00:00.000000000,337.32,370.41657
2022-07-04T05:00:00.000000000,318.44,361.73181
2022-07-04T06:00:00.000000000,299.5,355.77043
2022-07-04T07:00:00.000000000,284.73,352.48842
2022-07-04T08:00:00.000000000,277.73,353.44213
2022-07-04T09:00:00.000000000,273.75,358.08701
2022-07-04T10:00:00.000000000,285.5,365.47115
2022-07-04T11:00:00.000000000,299.82,375.41154
2022-07-04T12:00:00.000000000,294.78,389.38519
2022-07-04T13:00:00.000000000,324.39,404.96057
2022-07-04T14:00:00.000000000,365.55,420.80403
2022-07-04T15:00:00.000000000,362.35,435.97842
2022-07-04T16:00:00.000000000,370.7,449.02973
2022-07-04T17:00:00.000000000,390.01,460.39173
2022-07-04T18:00:00.000000000,413.8,469.44823
2022-07-04T19:00:00.000000000,425.86,476.43823
2022-07-04T20:00:00.000000000,430.31,481.38702
2022-07-04T21:00:00.000000000,429.71,484.40933
2022-07-04T22:00:00.000000000,428.03,484.89951
2022-07-04T23:00:00.000000000,427.76,483.05056
2022-07-05T00:00:00.000000000,426.11,490.77838
2022-07-05T01:00:00.000000000,423.91,475.86486
2022-07-05T02:00:00.000000000,408.71,457.70062
2022-07-05T03:00:00.000000000,379.2,439.12021
2022-07-05T04:00:00.000000000,353.45,421.50265
2022-07-05T05:00:00.000000000,333.65,406.78866
2022-07-05T06:00:00.000000000,322.0,396.46861
2022-07-05T07:00:00.000000000,316.73,390.72764
2022-07-05T08:00:00.000000000,311.16,390.80085
2022-07-05T09:00:00.000000000,293.9,395.97805
2022-07-05T10:00:00.000000000,286.85,404.78474
2022-07-05T11:00:00.000000000,287.15,416.23964
2022-07-05T12:00:00.000000000,288.53,431.54365
2022-07-05T13:00:00.000000000,335.0,448.07435
2022-07-05T14:00:00.000000000,400.19,464.04068
2022-07-05T15:00:00.000000000,416.45,478.33321
2022-07-05T16:00:00.000000000,420.74,489.53471
2022-07-05T17:00:00.000000000,439.52,497.69247
2022-07-05T18:00:00.000000000,449.26,501.42457
2022-07-05T19:00:00.000000000,447.78,501.21537
2022-07-05T20:00:00.000000000,442.41,498.38467
2022-07-05T21:00:00.000000000,439.96,494.05055
2022-07-05T22:00:00.000000000,430.06,488.41103
2022-07-05T23:00:00.000000000,427.31,481.8291
2022-07-06T00:00:00.000000000,432.77,479.03684
2022-07-06T01:00:00.000000000,434.18,467.34636
2022-07-06T02:00:00.000000000,421.41,454.04156
2022-07-06T03:00:00.000000000,392.56,441.9636
2022-07-06T04:00:00.000000000,375.05,431.62296
2022-07-06T05:00:00.000000000,356.08,424.42924
2022-07-06T06:00:00.000000000,349.53,421.32237
2022-07-06T07:00:00.000000000,349.19,422.24397
2022-07-06T08:00:00.000000000,343.24,427.95451
2022-07-06T09:00:00.000000000,341.4,437.29416
2022-07-06T10:00:00.000000000,335.3,448.61788
2022-07-06T11:00:00.000000000,349.89,460.79762
2022-07-06T12:00:00.000000000,372.47,475.60045
2022-07-06T13:00:00.000000000,416.56,490.83116
2022-07-06T14:00:00.000000000,466.82,504.54983
2022-07-06T15:00:00.000000000,478.03,515.82409
2022-07-06T16:00:00.000000000,480.05,523.61312
2022-07-06T17:00:00.000000000,493.94,529.20463
2022-07-06T18:00:00.000000000,509.28,531.89163
2022-07-06T19:00:00.000000000,516.48,532.07514
2022-07-06T20:00:00.000000000,507.03,530.39201
2022-07-06T21:00:00.000000000,499.34,527.26056
2022-07-06T22:00:00.000000000,486.59,522.62656
2022-07-06T23:00:00.000000000,480.01,516.58947
