datetime,coal_actual,avg_coal_production_forecast
2020-01-01T00:00:00.000000000,12.0,12.11136
2020-01-01T01:00:00.000000000,15.0,11.98153
2020-01-01T02:00:00.000000000,14.0,12.11398
2020-01-01T03:00:00.000000000,12.0,11.92937
2020-01-01T04:00:00.000000000,15.0,11.57302
2020-01-01T05:00:00.000000000,12.0,11.89925
2020-01-01T06:00:00.000000000,12.0,11.95959
2020-01-01T07:00:00.000000000,10.0,12.04361
2020-01-01T08:00:00.000000000,11.0,11.92919
2020-01-01T09:00:00.000000000,9.0,11.88163
2020-01-01T10:00:00.000000000,8.0,11.9207
2020-01-01T11:00:00.000000000,9.0,12.03073
2020-01-01T12:00:00.000000000,9.0,12.2242
2020-01-01T13:00:00.000000000,9.0,12.00201
2020-01-01T14:00:00.000000000,9.0,11.60681
2020-01-01T15:00:00.000000000,9.0,11.47062
2020-01-01T16:00:00.000000000,10.0,11.59143
2020-01-01T17:00:00.000000000,10.0,11.40502
2020-01-01T18:00:00.000000000,10.0,11.67442
2020-01-01T19:00:00.000000000,9.0,11.91814
2020-01-01T20:00:00.000000000,9.0,11.83591
2020-01-01T21:00:00.000000000,9.0,11.83758
2020-01-01T22:00:00.000000000,9.0,12.05539
2020-01-01T23:00:00.000000000,10.0,11.93732
2020-01-02T00:00:00.000000000,10.0,12.56623
2020-01-02T01:00:00.000000000,9.0,12.44061
2020-01-02T02:00:00.000000000,9.0,12.57824
2020-01-02T03:00:00.000000000,7.0,12.37285
2020-01-02T04:00:00.000000000,8.0,12.0138
2020-01-02T05:00:00.000000000,9.0,12.34564
2020-01-02T06:00:00.000000000,8.0,12.41643
2020-01-02T07:00:00.000000000,7.0,12.49361
2020-01-02T08:00:00.000000000,7.0,12.35924
2020-01-02T09:00:00.000000000,7.0,12.31641
2020-01-02T10:00:00.000000000,7.0,12.36914
2020-01-02T11:00:00.000000000,7.0,12.47569
2020-01-02T12:00:00.000000000,8.0,12.66978
2020-01-02T13:00:00.000000000,7.0,12.44411
2020-01-02T14:00:00.000000000,7.0,12.02639
2020-01-02T15:00:00.000000000,5.0,11.89483
2020-01-02T16:00:00.000000000,8.0,12.02222
2020-01-02T17:00:00.000000000,7.0,11.81608
2020-01-02T18:00:00.000000000,6.0,12.10594
2020-01-02T19:00:00.000000000,6.0,12.34379
2020-01-02T20:00:00.000000000,7.0,12.27243
2020-01-02T21:00:00.000000000,5.0,12.2704
2020-01-02T22:00:00.000000000,7.0,12.49654
2020-01-02T23:00:00.000000000,5.0,12.37413
2020-01-03T00:00:00.000000000,6.0,12.95803
2020-01-03T01:00:00.000000000,5.0,12.83605
2020-01-03T02:00:00.000000000,6.0,12.97813
2020-01-03T03:00:00.000000000,5.0,12.75484
2020-01-03T04:00:00.000000000,5.0,12.39347
2020-01-03T05:00:00.000000000,5.0,12.73014
2020-01-03T06:00:00.000000000,6.0,12.80993
2020-01-03T07:00:00.000000000,5.0,12.88122
2020-01-03T08:00:00.000000000,6.0,12.72967
2020-01-03T09:00:00.000000000,6.0,12.6909
2020-01-03T10:00:00.000000000,6.0,12.75539
2020-01-03T11:00:00.000000000,6.0,12.85897
2020-01-03T12:00:00.000000000,7.0,13.05359
2020-01-03T13:00:00.000000000,7.0,12.8249
2020-01-03T14:00:00.000000000,6.0,12.3878
2020-01-03T15:00:00.000000000,6.0,12.26022
2020-01-03T16:00:00.000000000,4.0,12.39329
2020-01-03T17:00:00.000000000,7.0,12.17015
2020-01-03T18:00:00.000000000,7.0,12.47763
2020-01-03T19:00:00.000000000,8.0,12.71043
2020-01-03T20:00:00.000000000,7.0,12.64842
2020-01-03T21:00:00.000000000,7.0,12.64322
2020-01-03T22:00:00.000000000,5.0,12.87653
2020-01-03T23:00:00.000000000,5.0,12.75038
2020-01-04T00:00:00.000000000,6.0,13.29481
2020-01-04T01:00:00.000000000,7.0,13.17596
2020-01-04T02:00:00.000000000,6.0,13.32187
2020-01-04T03:00:00.000000000,5.0,13.08319
2020-01-04T04:00:00.000000000,5.0,12.71982
2020-01-04T05:00:00.000000000,7.0,13.06065
2020-01-04T06:00:00.000000000,7.0,13.14817
2020-01-04T07:00:00.000000000,7.0,13.2144
2020-01-04T08:00:00.000000000,6.0,13.04808
2020-01-04T09:00:00.000000000,6.0,13.01281
2020-01-04T10:00:00.000000000,7.0,13.08741
2020-01-04T11:00:00.000000000,8.0,13.18842
2020-01-04T12:00:00.000000000,5.0,13.3835
2020-01-04T13:00:00.000000000,7.0,13.15223
2020-01-04T14:00:00.000000000,11.0,12.69846
2020-01-04T15:00:00.000000000,12.0,12.57431
2020-01-04T16:00:00.000000000,10.0,12.71225
2020-01-04T17:00:00.000000000,11.0,12.4745
2020-01-04T18:00:00.000000000,16.0,12.79713
2020-01-04T19:00:00.000000000,16.0,13.02559
2020-01-04T20:00:00.000000000,16.0,12.97161
2020-01-04T21:00:00.000000000,15.0,12.96368
2020-01-04T22:00:00.000000000,13.0,13.20316
2020-01-04T23:00:00.000000000,15.0,13.07379
2020-01-02T00:00:00.000000000,10.0,10.68969
2020-01-02T01:00:00.000000000,9.0,10.54666
2020-01-02T02:00:00.000000000,9.0,10.66295
2020-01-02T03:00:00.000000000,7.0,10.54329
2020-01-02T04:00:00.000000000,8.0,10.19539
2020-01-02T05:00:00.000000000,9.0,10.50405
2020-01-02T06:00:00.000000000,8.0,10.53177
2020-01-02T07:00:00.000000000,7.0,10.63716
2020-01-02T08:00:00.000000000,7.0,10.58509
2020-01-02T09:00:00.000000000,7.0,10.52275
2020-01-02T10:00:00.000000000,7.0,10.51915
2020-01-02T11:00:00.000000000,7.0,10.64001
2020-01-02T12:00:00.000000000,8.0,10.83153
2020-01-02T13:00:00.000000000,7.0,10.62027
2020-01-02T14:00:00.000000000,7.0,10.29541
2020-01-02T15:00:00.000000000,5.0,10.14477
2020-01-02T16:00:00.000000000,8.0,10.24501
2020-01-02T17:00:00.000000000,7.0,10.12027
2020-01-02T18:00:00.000000000,6.0,10.32572
2020-01-02T19:00:00.000000000,6.0,10.58777
2020-01-02T20:00:00.000000000,7.0,10.47161
2020-01-02T21:00:00.000000000,5.0,10.48479
2020-01-02T22:00:00.000000000,7.0,10.67658
2020-01-02T23:00:00.000000000,5.0,10.57209
2020-01-03T00:00:00.000000000,6.0,11.32561
2020-01-03T01:00:00.000000000,5.0,11.18848
2020-01-03T02:00:00.000000000,6.0,11.312
2020-01-03T03:00:00.000000000,5.0,11.16329
2020-01-03T04:00:00.000000000,5.0,10.81161
2020-01-03T05:00:00.000000000,5.0,11.12813
2020-01-03T06:00:00.000000000,6.0,11.17044
2020-01-03T07:00:00.000000000,5.0,11.26627
2020-01-03T08:00:00.000000000,6.0,11.18632
2020-01-03T09:00:00.000000000,6.0,11.13058
2020-01-03T10:00:00.000000000,6.0,11.14607
2020-01-03T11:00:00.000000000,6.0,11.26208
2020-01-03T12:00:00.000000000,7.0,11.45448
2020-01-03T13:00:00.000000000,7.0,11.23833
2020-01-03T14:00:00.000000000,6.0,10.88201
2020-01-03T15:00:00.000000000,6.0,10.73783
2020-01-03T16:00:00.000000000,4.0,10.84727
2020-01-03T17:00:00.000000000,7.0,10.69494
2020-01-03T18:00:00.000000000,7.0,10.929
2020-01-03T19:00:00.000000000,8.0,11.18285
2020-01-03T20:00:00.000000000,7.0,11.08187
2020-01-03T21:00:00.000000000,7.0,11.0899
2020-01-03T22:00:00.000000000,5.0,11.29333
2020-01-03T23:00:00.000000000,5.0,11.18276
2020-01-04T00:00:00.000000000,6.0,11.87476
2020-01-04T01:00:00.000000000,7.0,11.74273
2020-01-04T02:00:00.000000000,6.0,11.87249
2020-01-04T03:00:00.000000000,5.0,11.69869
2020-01-04T04:00:00.000000000,5.0,11.34375
2020-01-04T05:00:00.000000000,7.0,11.66705
2020-01-04T06:00:00.000000000,7.0,11.72197
2020-01-04T07:00:00.000000000,7.0,11.80954
2020-01-04T08:00:00.000000000,6.0,11.7055
2020-01-04T09:00:00.000000000,6.0,11.65548
2020-01-04T10:00:00.000000000,7.0,11.68745
2020-01-04T11:00:00.000000000,8.0,11.79928
2020-01-04T12:00:00.000000000,5.0,11.99242
2020-01-04T13:00:00.000000000,7.0,11.77206
2020-01-04T14:00:00.000000000,11.0,11.38856
2020-01-04T15:00:00.000000000,12.0,11.24996
2020-01-04T16:00:00.000000000,10.0,11.36735
2020-01-04T17:00:00.000000000,11.0,11.1912
2020-01-04T18:00:00.000000000,16.0,11.44996
2020-01-04T19:00:00.000000000,16.0,11.69673
2020-01-04T20:00:00.000000000,16.0,11.60886
2020-01-04T21:00:00.000000000,15.0,11.61244
2020-01-04T22:00:00.000000000,13.0,11.82592
2020-01-04T23:00:00.000000000,15.0,11.71011
2020-01-05T00:00:00.000000000,17.0,11.65072
2020-01-05T01:00:00.000000000,13.0,11.51661
2020-01-05T02:00:00.000000000,13.0,11.64383
2020-01-05T03:00:00.000000000,13.0,11.48026
2020-01-05T04:00:00.000000000,15.0,11.12665
2020-01-05T05:00:00.000000000,15.0,11.44719
2020-01-05T06:00:00.000000000,13.0,11.49696
2020-01-05T07:00:00.000000000,13.0,11.5879
2020-01-05T08:00:00.000000000,13.0,11.49369
2020-01-05T09:00:00.000000000,13.0,11.44134
2020-01-05T10:00:00.000000000,13.0,11.46659
2020-01-05T11:00:00.000000000,13.0,11.58012
2020-01-05T12:00:00.000000000,13.0,11.77296
2020-01-05T13:00:00.000000000,14.0,11.55431
2020-01-05T14:00:00.000000000,13.0,11.1819
2020-01-05T15:00:00.000000000,11.0,11.04103
2020-01-05T16:00:00.000000000,12.0,11.15517
2020-01-05T17:00:00.000000000,14.0,10.98874
2020-01-05T18:00:00.000000000,14.0,11.23743
2020-01-05T19:00:00.000000000,11.0,11.48708
2020-01-05T20:00:00.000000000,13.0,11.39386
2020-01-05T21:00:00.000000000,13.0,11.39926
2020-01-05T22:00:00.000000000,13.0,11.60864
2020-01-05T23:00:00.000000000,13.0,11.49497
2020-01-03T00:00:00.000000000,6.0,7.63129
2020-01-03T01:00:00.000000000,5.0,7.45985
2020-01-03T02:00:00.000000000,6.0,7.54138
2020-01-03T03:00:00.000000000,5.0,7.56145
2020-01-03T04:00:00.000000000,5.0,7.23172
2020-01-03T05:00:00.000000000,5.0,7.50261
2020-01-03T06:00:00.000000000,6.0,7.46013
2020-01-03T07:00:00.000000000,5.0,7.61147
2020-01-03T08:00:00.000000000,6.0,7.69355
2020-01-03T09:00:00.000000000,6.0,7.59942
2020-01-03T10:00:00.000000000,6.0,7.50402
2020-01-03T11:00:00.000000000,6.0,7.64818
2020-01-03T12:00:00.000000000,7.0,7.83552
2020-01-03T13:00:00.000000000,7.0,7.64776
2020-01-03T14:00:00.000000000,6.0,7.47424
2020-01-03T15:00:00.000000000,6.0,7.2925
2020-01-03T16:00:00.000000000,4.0,7.34847
2020-01-03T17:00:00.000000000,7.0,7.3564
2020-01-03T18:00:00.000000000,7.0,7.4243
