datetime,nat_gas_actual,avg_nat_gas_production_forecast
2020-01-01T00:00:00.000000000,7290.0,8103.84905
2020-01-01T01:00:00.000000000,9098.0,8830.62378
2020-01-01T02:00:00.000000000,8827.0,9790.69634
2020-01-01T03:00:00.000000000,8040.0,10267.96118
2020-01-01T04:00:00.000000000,7826.0,10122.77707
2020-01-01T05:00:00.000000000,7710.0,9529.8989
2020-01-01T06:00:00.000000000,7717.0,8574.53408
2020-01-01T07:00:00.000000000,8221.0,7981.84958
2020-01-01T08:00:00.000000000,8326.0,7759.31403
2020-01-01T09:00:00.000000000,8372.0,7299.96345
2020-01-01T10:00:00.000000000,7428.0,7122.95524
2020-01-01T11:00:00.000000000,7118.0,7166.20211
2020-01-01T12:00:00.000000000,6710.0,7591.63092
2020-01-01T13:00:00.000000000,6629.0,8017.17933
2020-01-01T14:00:00.000000000,6312.0,7841.77276
2020-01-01T15:00:00.000000000,6399.0,7617.93525
2020-01-01T16:00:00.000000000,4732.0,7149.11823
2020-01-01T17:00:00.000000000,4655.0,6551.99644
2020-01-01T18:00:00.000000000,4111.0,6081.71268
2020-01-01T19:00:00.000000000,3964.0,5706.04362
2020-01-01T20:00:00.000000000,3918.0,5650.91258
2020-01-01T21:00:00.000000000,4079.0,5842.00831
2020-01-01T22:00:00.000000000,4165.0,6181.7442
2020-01-01T23:00:00.000000000,4844.0,6856.17121
2020-01-02T00:00:00.000000000,5233.0,8197.18286
2020-01-02T01:00:00.000000000,5968.0,8882.85734
2020-01-02T02:00:00.000000000,6092.0,9825.25482
2020-01-02T03:00:00.000000000,6090.0,10306.72456
2020-01-02T04:00:00.000000000,6895.0,10182.59681
2020-01-02T05:00:00.000000000,7091.0,9619.72569
2020-01-02T06:00:00.000000000,6113.0,8714.46548
2020-01-02T07:00:00.000000000,5535.0,8176.04291
2020-01-02T08:00:00.000000000,5356.0,8001.85813
2020-01-02T09:00:00.000000000,5121.0,7564.54922
2020-01-02T10:00:00.000000000,5087.0,7392.94866
2020-01-02T11:00:00.000000000,5369.0,7420.21315
2020-01-02T12:00:00.000000000,5664.0,7808.24986
2020-01-02T13:00:00.000000000,5482.0,8191.07599
2020-01-02T14:00:00.000000000,5897.0,7990.16354
2020-01-02T15:00:00.000000000,6619.0,7765.47798
2020-01-02T16:00:00.000000000,6624.0,7303.92506
2020-01-02T17:00:00.000000000,6131.0,6722.0572
2020-01-02T18:00:00.000000000,5619.0,6268.90013
2020-01-02T19:00:00.000000000,5879.0,5917.78834
2020-01-02T20:00:00.000000000,6104.0,5876.02284
2020-01-02T21:00:00.000000000,6290.0,6071.19978
2020-01-02T22:00:00.000000000,6508.0,6387.70143
2020-01-02T23:00:00.000000000,7088.0,7016.70574
2020-01-03T00:00:00.000000000,8344.0,8317.37549
2020-01-03T01:00:00.000000000,10040.0,9016.23134
2020-01-03T02:00:00.000000000,10218.0,9980.26823
2020-01-03T03:00:00.000000000,10328.0,10479.06987
2020-01-03T04:00:00.000000000,10367.0,10363.83844
2020-01-03T05:00:00.000000000,10198.0,9797.00095
2020-01-03T06:00:00.000000000,9773.0,8881.23464
2020-01-03T07:00:00.000000000,9266.0,8334.70468
2020-01-03T08:00:00.000000000,8651.0,8153.3652
2020-01-03T09:00:00.000000000,8428.0,7699.93461
2020-01-03T10:00:00.000000000,8355.0,7518.165
2020-01-03T11:00:00.000000000,8188.0,7539.36067
2020-01-03T12:00:00.000000000,8352.0,7927.39806
2020-01-03T13:00:00.000000000,8465.0,8313.54502
2020-01-03T14:00:00.000000000,8767.0,8114.52232
2020-01-03T15:00:00.000000000,9349.0,7897.29181
2020-01-03T16:00:00.000000000,8799.0,7438.62822
2020-01-03T17:00:00.000000000,7714.0,6854.7714
2020-01-03T18:00:00.000000000,6698.0,6396.5794
2020-01-03T19:00:00.000000000,6377.0,6036.87505
2020-01-03T20:00:00.000000000,6390.0,5985.95875
2020-01-03T21:00:00.000000000,6322.0,6175.91797
2020-01-03T22:00:00.000000000,6722.0,6486.72556
2020-01-03T23:00:00.000000000,7261.0,7116.51269
2020-01-04T00:00:00.000000000,8172.0,8397.22213
2020-01-04T01:00:00.000000000,9803.0,9118.40574
2020-01-04T02:00:00.000000000,9845.0,10106.6085
2020-01-04T03:00:00.000000000,9695.0,10620.40449
2020-01-04T04:00:00.000000000,9606.0,10508.50816
2020-01-04T05:00:00.000000000,9434.0,9931.22096
2020-01-04T06:00:00.000000000,9547.0,8993.78263
2020-01-04T07:00:00.000000000,8702.0,8426.22756
2020-01-04T08:00:00.000000000,7845.0,8225.9491
2020-01-04T09:00:00.000000000,6788.0,7752.14099
2020-01-04T10:00:00.000000000,6440.0,7559.53706
2020-01-04T11:00:00.000000000,5851.0,7579.06111
2020-01-04T12:00:00.000000000,5885.0,7976.34884
2020-01-04T13:00:00.000000000,5794.0,8376.27176
2020-01-04T14:00:00.000000000,5912.0,8185.73359
2020-01-04T15:00:00.000000000,5873.0,7975.7828
2020-01-04T16:00:00.000000000,4511.0,7518.27644
2020-01-04T17:00:00.000000000,3083.0,6929.04867
2020-01-04T18:00:00.000000000,2950.0,6462.06976
2020-01-04T19:00:00.000000000,3165.0,6088.13858
2020-01-04T20:00:00.000000000,3008.0,6025.22973
2020-01-04T21:00:00.000000000,3423.0,6208.96215
2020-01-04T22:00:00.000000000,3505.0,6520.1608
2020-01-04T23:00:00.000000000,4677.0,7161.85588
2020-01-02T00:00:00.000000000,5233.0,6803.72157
2020-01-02T01:00:00.000000000,5968.0,7335.8871
2020-01-02T02:00:00.000000000,6092.0,8127.49169
2020-01-02T03:00:00.000000000,6090.0,8561.58374
2020-01-02T04:00:00.000000000,6895.0,8507.8994
2020-01-02T05:00:00.000000000,7091.0,8130.47208
2020-01-02T06:00:00.000000000,6113.0,7453.52879
2020-01-02T07:00:00.000000000,5535.0,7065.36773
2020-01-02T08:00:00.000000000,5356.0,6984.53306
2020-01-02T09:00:00.000000000,5121.0,6655.6787
2020-01-02T10:00:00.000000000,5087.0,6518.58703
2020-01-02T11:00:00.000000000,5369.0,6523.60123
2020-01-02T12:00:00.000000000,5664.0,6816.52446
2020-01-02T13:00:00.000000000,5482.0,7099.55384
2020-01-02T14:00:00.000000000,5897.0,6891.2142
2020-01-02T15:00:00.000000000,6619.0,6665.14378
2020-01-02T16:00:00.000000000,6624.0,6254.20103
2020-01-02T17:00:00.000000000,6131.0,5754.16334
2020-01-02T18:00:00.000000000,5619.0,5377.39584
2020-01-02T19:00:00.000000000,5879.0,5087.1856
2020-01-02T20:00:00.000000000,6104.0,5077.14667
2020-01-02T21:00:00.000000000,6290.0,5242.14159
2020-01-02T22:00:00.000000000,6508.0,5505.32347
2020-01-02T23:00:00.000000000,7088.0,6008.09012
2020-01-03T00:00:00.000000000,8344.0,7473.62975
2020-01-03T01:00:00.000000000,10040.0,7998.37421
2020-01-03T02:00:00.000000000,10218.0,8803.07321
2020-01-03T03:00:00.000000000,10328.0,9237.89099
2020-01-03T04:00:00.000000000,10367.0,9164.36527
2020-01-03T05:00:00.000000000,10198.0,8743.43218
2020-01-03T06:00:00.000000000,9773.0,8043.80914
2020-01-03T07:00:00.000000000,9266.0,7676.54952
2020-01-03T08:00:00.000000000,8651.0,7635.65856
2020-01-03T09:00:00.000000000,8428.0,7313.14958
2020-01-03T10:00:00.000000000,8355.0,7184.54719
2020-01-03T11:00:00.000000000,8188.0,7186.88135
2020-01-03T12:00:00.000000000,8352.0,7470.93069
2020-01-03T13:00:00.000000000,8465.0,7733.19114
2020-01-03T14:00:00.000000000,8767.0,7485.02943
2020-01-03T15:00:00.000000000,9349.0,7245.02131
2020-01-03T16:00:00.000000000,8799.0,6813.63852
2020-01-03T17:00:00.000000000,7714.0,6298.01836
2020-01-03T18:00:00.000000000,6698.0,5916.95389
2020-01-03T19:00:00.000000000,6377.0,5648.76121
2020-01-03T20:00:00.000000000,6390.0,5659.4569
2020-01-03T21:00:00.000000000,6322.0,5856.20931
2020-01-03T22:00:00.000000000,6722.0,6120.99996
2020-01-03T23:00:00.000000000,7261.0,6617.24354
2020-01-04T00:00:00.000000000,8172.0,7963.7403
2020-01-04T01:00:00.000000000,9803.0,8563.59444
2020-01-04T02:00:00.000000000,9845.0,9443.80677
2020-01-04T03:00:00.000000000,9695.0,9911.76894
2020-01-04T04:00:00.000000000,9606.0,9821.94555
2020-01-04T05:00:00.000000000,9434.0,9333.6405
2020-01-04T06:00:00.000000000,9547.0,8538.46501
2020-01-04T07:00:00.000000000,8702.0,8098.01603
2020-01-04T08:00:00.000000000,7845.0,8002.91478
2020-01-04T09:00:00.000000000,6788.0,7621.534
2020-01-04T10:00:00.000000000,6440.0,7468.43073
2020-01-04T11:00:00.000000000,5851.0,7475.60445
2020-01-04T12:00:00.000000000,5885.0,7800.68745
2020-01-04T13:00:00.000000000,5794.0,8111.6792
2020-01-04T14:00:00.000000000,5912.0,7878.44932
2020-01-04T15:00:00.000000000,5873.0,7648.67957
2020-01-04T16:00:00.000000000,4511.0,7204.36003
2020-01-04T17:00:00.000000000,3083.0,6657.8756
2020-01-04T18:00:00.000000000,2950.0,6242.75243
2020-01-04T19:00:00.000000000,3165.0,5937.06573
2020-01-04T20:00:00.000000000,3008.0,5922.02653
2020-01-04T21:00:00.000000000,3423.0,6118.56082
2020-01-04T22:00:00.000000000,3505.0,6400.0239
2020-01-04T23:00:00.000000000,4677.0,6949.99496
2020-01-05T00:00:00.000000000,5780.0,8520.35709
2020-01-05T01:00:00.000000000,6616.0,9119.60035
2020-01-05T02:00:00.000000000,7198.0,9917.74738
2020-01-05T03:00:00.000000000,7182.0,10239.5415
2020-01-05T04:00:00.000000000,7503.0,9964.98101
2020-01-05T05:00:00.000000000,7951.0,9303.28758
2020-01-05T06:00:00.000000000,7975.0,8381.30227
2020-01-05T07:00:00.000000000,7378.0,7898.35526
2020-01-05T08:00:00.000000000,6958.0,7821.3001
2020-01-05T09:00:00.000000000,6733.0,7517.33394
2020-01-05T10:00:00.000000000,6701.0,7450.19573
2020-01-05T11:00:00.000000000,6419.0,7545.25009
2020-01-05T12:00:00.000000000,6272.0,7957.96435
2020-01-05T13:00:00.000000000,6730.0,8314.95571
2020-01-05T14:00:00.000000000,5843.0,8037.28572
2020-01-05T15:00:00.000000000,6141.0,7714.80121
2020-01-05T16:00:00.000000000,5236.0,7172.14454
2020-01-05T17:00:00.000000000,2652.0,6554.61261
2020-01-05T18:00:00.000000000,3219.0,6116.5953
2020-01-05T19:00:00.000000000,2683.0,5863.44589
2020-01-05T20:00:00.000000000,2722.0,5935.18209
2020-01-05T21:00:00.000000000,2485.0,6244.51681
2020-01-05T22:00:00.000000000,2350.0,6643.85025
2020-01-05T23:00:00.000000000,3508.0,7305.42953
2020-01-03T00:00:00.000000000,8344.0,7746.77955
