datetime,nuclear_actual,avg_nuclear_production_forecast
2020-01-01T00:00:00.000000000,2273.0,2275.53734
2020-01-01T01:00:00.000000000,2272.0,2274.80187
2020-01-01T02:00:00.000000000,2273.0,2275.77511
2020-01-01T03:00:00.000000000,2272.0,2277.78771
2020-01-01T04:00:00.000000000,2272.0,2280.73492
2020-01-01T05:00:00.000000000,2272.0,2281.66089
2020-01-01T06:00:00.000000000,2275.0,2285.74199
2020-01-01T07:00:00.000000000,2275.0,2290.4541
2020-01-01T08:00:00.000000000,2275.0,2293.30879
2020-01-01T09:00:00.000000000,2272.0,2292.8721
2020-01-01T10:00:00.000000000,2274.0,2288.30157
2020-01-01T11:00:00.000000000,2274.0,2284.65264
2020-01-01T12:00:00.000000000,2272.0,2285.25458
2020-01-01T13:00:00.000000000,2271.0,2289.75007
2020-01-01T14:00:00.000000000,2272.0,2294.67988
2020-01-01T15:00:00.000000000,2271.0,2299.18134
2020-01-01T16:00:00.000000000,2273.0,2299.70696
2020-01-01T17:00:00.000000000,2272.0,2301.31459
2020-01-01T18:00:00.000000000,2273.0,2302.37359
2020-01-01T19:00:00.000000000,2275.0,2301.94466
2020-01-01T20:00:00.000000000,2272.0,2302.77906
2020-01-01T21:00:00.000000000,2272.0,2303.5487
2020-01-01T22:00:00.000000000,2273.0,2305.17677
2020-01-01T23:00:00.000000000,2270.0,2305.47029
2020-01-02T00:00:00.000000000,2271.0,2306.53634
2020-01-02T01:00:00.000000000,2272.0,2305.80253
2020-01-02T02:00:00.000000000,2273.0,2306.81246
2020-01-02T03:00:00.000000000,2271.0,2308.85693
2020-01-02T04:00:00.000000000,2273.0,2311.85968
2020-01-02T05:00:00.000000000,2275.0,2312.77004
2020-01-02T06:00:00.000000000,2273.0,2316.8951
2020-01-02T07:00:00.000000000,2274.0,2321.66419
2020-01-02T08:00:00.000000000,2272.0,2324.55888
2020-01-02T09:00:00.000000000,2270.0,2324.06981
2020-01-02T10:00:00.000000000,2272.0,2319.36187
2020-01-02T11:00:00.000000000,2275.0,2315.58588
2020-01-02T12:00:00.000000000,2272.0,2316.14761
2020-01-02T13:00:00.000000000,2276.0,2320.69152
2020-01-02T14:00:00.000000000,2275.0,2325.69083
2020-01-02T15:00:00.000000000,2273.0,2330.28135
2020-01-02T16:00:00.000000000,2273.0,2330.80984
2020-01-02T17:00:00.000000000,2273.0,2332.44626
2020-01-02T18:00:00.000000000,2272.0,2333.53115
2020-01-02T19:00:00.000000000,2272.0,2333.09014
2020-01-02T20:00:00.000000000,2275.0,2333.93806
2020-01-02T21:00:00.000000000,2274.0,2334.73231
2020-01-02T22:00:00.000000000,2273.0,2336.38181
2020-01-02T23:00:00.000000000,2274.0,2336.66585
2020-01-03T00:00:00.000000000,2274.0,2334.29605
2020-01-03T01:00:00.000000000,2274.0,2333.56382
2020-01-03T02:00:00.000000000,2273.0,2334.60641
2020-01-03T03:00:00.000000000,2274.0,2336.67951
2020-01-03T04:00:00.000000000,2272.0,2339.73176
2020-01-03T05:00:00.000000000,2274.0,2340.62817
2020-01-03T06:00:00.000000000,2268.0,2344.79279
2020-01-03T07:00:00.000000000,2270.0,2349.61282
2020-01-03T08:00:00.000000000,2269.0,2352.54348
2020-01-03T09:00:00.000000000,2267.0,2352.00736
2020-01-03T10:00:00.000000000,2270.0,2347.17655
2020-01-03T11:00:00.000000000,2271.0,2343.2866
2020-01-03T12:00:00.000000000,2271.0,2343.81236
2020-01-03T13:00:00.000000000,2268.0,2348.39957
2020-01-03T14:00:00.000000000,2269.0,2353.46118
2020-01-03T15:00:00.000000000,2269.0,2358.13128
2020-01-03T16:00:00.000000000,2268.0,2358.6625
2020-01-03T17:00:00.000000000,2269.0,2360.32467
2020-01-03T18:00:00.000000000,2268.0,2361.43288
2020-01-03T19:00:00.000000000,2270.0,2360.98079
2020-01-03T20:00:00.000000000,2267.0,2361.84094
2020-01-03T21:00:00.000000000,2267.0,2362.6572
2020-01-03T22:00:00.000000000,2269.0,2364.32613
2020-01-03T23:00:00.000000000,2269.0,2364.60124
2020-01-04T00:00:00.000000000,2266.0,2359.12898
2020-01-04T01:00:00.000000000,2270.0,2358.39804
2020-01-04T02:00:00.000000000,2269.0,2359.47013
2020-01-04T03:00:00.000000000,2268.0,2361.5687
2020-01-04T04:00:00.000000000,2267.0,2364.66541
2020-01-04T05:00:00.000000000,2265.0,2365.5493
2020-01-04T06:00:00.000000000,2266.0,2369.74918
2020-01-04T07:00:00.000000000,2267.0,2374.61481
2020-01-04T08:00:00.000000000,2269.0,2377.57756
2020-01-04T09:00:00.000000000,2267.0,2376.99943
2020-01-04T10:00:00.000000000,2269.0,2372.05854
2020-01-04T11:00:00.000000000,2270.0,2368.06687
2020-01-04T12:00:00.000000000,2270.0,2368.56039
2020-01-04T13:00:00.000000000,2270.0,2373.18646
2020-01-04T14:00:00.000000000,2272.0,2378.30361
2020-01-04T15:00:00.000000000,2271.0,2383.04507
2020-01-04T16:00:00.000000000,2272.0,2383.5786
2020-01-04T17:00:00.000000000,2271.0,2385.26379
2020-01-04T18:00:00.000000000,2272.0,2386.39271
2020-01-04T19:00:00.000000000,2272.0,2385.93098
2020-01-04T20:00:00.000000000,2272.0,2386.80207
2020-01-04T21:00:00.000000000,2272.0,2387.63804
2020-01-04T22:00:00.000000000,2272.0,2389.32409
2020-01-04T23:00:00.000000000,2272.0,2389.59158
2020-01-02T00:00:00.000000000,2271.0,2274.60208
2020-01-02T01:00:00.000000000,2272.0,2273.86654
2020-01-02T02:00:00.000000000,2273.0,2274.8387
2020-01-02T03:00:00.000000000,2271.0,2276.85037
2020-01-02T04:00:00.000000000,2273.0,2279.79585
2020-01-02T05:00:00.000000000,2275.0,2280.72233
2020-01-02T06:00:00.000000000,2273.0,2284.80206
2020-01-02T07:00:00.000000000,2274.0,2289.51252
2020-01-02T08:00:00.000000000,2272.0,2292.36591
2020-01-02T09:00:00.000000000,2270.0,2291.93094
2020-01-02T10:00:00.000000000,2272.0,2287.36445
2020-01-02T11:00:00.000000000,2275.0,2283.71932
2020-01-02T12:00:00.000000000,2272.0,2284.32249
2020-01-02T13:00:00.000000000,2276.0,2288.81654
2020-01-02T14:00:00.000000000,2275.0,2293.74434
2020-01-02T15:00:00.000000000,2273.0,2298.24292
2020-01-02T16:00:00.000000000,2273.0,2298.76868
2020-01-02T17:00:00.000000000,2273.0,2300.3753
2020-01-02T18:00:00.000000000,2272.0,2301.43344
2020-01-02T19:00:00.000000000,2272.0,2301.00509
2020-01-02T20:00:00.000000000,2275.0,2301.83891
2020-01-02T21:00:00.000000000,2274.0,2302.60783
2020-01-02T22:00:00.000000000,2273.0,2304.23532
2020-01-02T23:00:00.000000000,2274.0,2304.52914
2020-01-03T00:00:00.000000000,2274.0,2305.50353
2020-01-03T01:00:00.000000000,2274.0,2304.76971
2020-01-03T02:00:00.000000000,2273.0,2305.77835
2020-01-03T03:00:00.000000000,2274.0,2307.82182
2020-01-03T04:00:00.000000000,2272.0,2310.82269
2020-01-03T05:00:00.000000000,2274.0,2311.73363
2020-01-03T06:00:00.000000000,2268.0,2315.85725
2020-01-03T07:00:00.000000000,2270.0,2320.62433
2020-01-03T08:00:00.000000000,2269.0,2323.51772
2020-01-03T09:00:00.000000000,2267.0,2323.03038
2020-01-03T10:00:00.000000000,2270.0,2318.32705
2020-01-03T11:00:00.000000000,2271.0,2314.55523
2020-01-03T12:00:00.000000000,2271.0,2315.1184
2020-01-03T13:00:00.000000000,2268.0,2319.66072
2020-01-03T14:00:00.000000000,2269.0,2324.65773
2020-01-03T15:00:00.000000000,2269.0,2329.24509
2020-01-03T16:00:00.000000000,2268.0,2329.77358
2020-01-03T17:00:00.000000000,2269.0,2331.40898
2020-01-03T18:00:00.000000000,2268.0,2332.49316
2020-01-03T19:00:00.000000000,2270.0,2332.05244
2020-01-03T20:00:00.000000000,2267.0,2332.89993
2020-01-03T21:00:00.000000000,2267.0,2333.69331
2020-01-03T22:00:00.000000000,2269.0,2335.34224
2020-01-03T23:00:00.000000000,2269.0,2335.62642
2020-01-04T00:00:00.000000000,2266.0,2333.16914
2020-01-04T01:00:00.000000000,2270.0,2332.4369
2020-01-04T02:00:00.000000000,2269.0,2333.4782
2020-01-04T03:00:00.000000000,2268.0,2335.55016
2020-01-04T04:00:00.000000000,2267.0,2338.60039
2020-01-04T05:00:00.000000000,2265.0,2339.49737
2020-01-04T06:00:00.000000000,2266.0,2343.66041
2020-01-04T07:00:00.000000000,2267.0,2348.47828
2020-01-04T08:00:00.000000000,2269.0,2351.4075
2020-01-04T09:00:00.000000000,2267.0,2350.8734
2020-01-04T10:00:00.000000000,2269.0,2346.04747
2020-01-04T11:00:00.000000000,2270.0,2342.16213
2020-01-04T12:00:00.000000000,2270.0,2342.68947
2020-01-04T13:00:00.000000000,2270.0,2347.27496
2020-01-04T14:00:00.000000000,2272.0,2352.33398
2020-01-04T15:00:00.000000000,2271.0,2357.00077
2020-01-04T16:00:00.000000000,2272.0,2357.53185
2020-01-04T17:00:00.000000000,2271.0,2359.19301
2020-01-04T18:00:00.000000000,2272.0,2360.30021
2020-01-04T19:00:00.000000000,2272.0,2359.8487
2020-01-04T20:00:00.000000000,2272.0,2360.70841
2020-01-04T21:00:00.000000000,2272.0,2361.52381
2020-01-04T22:00:00.000000000,2272.0,2363.19173
2020-01-04T23:00:00.000000000,2272.0,2363.46727
2020-01-05T00:00:00.000000000,2272.0,2354.12737
2020-01-05T01:00:00.000000000,2272.0,2353.39629
2020-01-05T02:00:00.000000000,2271.0,2354.46234
2020-01-05T03:00:00.000000000,2271.0,2356.55587
2020-01-05T04:00:00.000000000,2272.0,2359.64366
2020-01-05T05:00:00.000000000,2272.0,2360.52999
2020-01-05T06:00:00.000000000,2271.0,2364.72282
2020-01-05T07:00:00.000000000,2273.0,2369.57925
2020-01-05T08:00:00.000000000,2273.0,2372.53552
2020-01-05T09:00:00.000000000,2271.0,2371.96588
2020-01-05T10:00:00.000000000,2274.0,2367.04715
2020-01-05T11:00:00.000000000,2274.0,2363.07591
2020-01-05T12:00:00.000000000,2274.0,2363.57605
2020-01-05T13:00:00.000000000,2273.0,2368.1942
2020-01-05T14:00:00.000000000,2274.0,2373.30013
2020-01-05T15:00:00.000000000,2274.0,2378.02735
2020-01-05T16:00:00.000000000,2273.0,2378.5603
2020-01-05T17:00:00.000000000,2274.0,2380.24088
2020-01-05T18:00:00.000000000,2273.0,2381.36564
2020-01-05T19:00:00.000000000,2274.0,2380.90578
2020-01-05T20:00:00.000000000,2273.0,2381.7747
2020-01-05T21:00:00.000000000,2274.0,2382.60679
2020-01-05T22:00:00.000000000,2274.0,2384.28939
2020-01-05T23:00:00.000000000,2274.0,2384.55832
2020-01-03T00:00:00.000000000,2274.0,2276.12511
2020-01-03T01:00:00.000000000,2274.0,2275.38971
2020-01-03T02:00:00.000000000,2273.0,2276.3636
2020-01-03T03:00:00.000000000,2274.0,2278.37685
2020-01-03T04:00:00.000000000,2272.0,2281.32506
2020-01-03T05:00:00.000000000,2274.0,2282.25075
2020-01-03T06:00:00.000000000,2268.0,2286.33272
2020-01-03T07:00:00.000000000,2270.0,2291.0459
2020-01-03T08:00:00.000000000,2269.0,2293.90131
2020-01-03T09:00:00.000000000,2267.0,2293.46376
2020-01-03T10:00:00.000000000,2270.0,2288.8905
2020-01-03T11:00:00.000000000,2271.0,2285.23911
2020-01-03T12:00:00.000000000,2271.0,2285.84034
2020-01-03T13:00:00.000000000,2268.0,2290.33684
2020-01-03T14:00:00.000000000,2269.0,2295.26794
2020-01-03T15:00:00.000000000,2269.0,2299.77098
2020-01-03T16:00:00.000000000,2268.0,2300.29674
2020-01-03T17:00:00.000000000,2269.0,2301.90481
2020-01-03T18:00:00.000000000,2268.0,2302.96438
2020-01-03T19:00:00.000000000,2270.0,2302.53531
2020-01-03T20:00:00.000000000,2267.0,2303.36985
2020-01-03T21:00:00.000000000,2267.0,2304.13993
2020-01-03T22:00:00.000000000,2269.0,2305.76842
2020-01-03T23:00:00.000000000,2269.0,2306.06181
2020-01-04T00:00:00.000000000,2266.0,2306.68123
2020-01-04T01:00:00.000000000,2270.0,2305.94742
2020-01-04T02:00:00.000000000,2269.0,2306.95749
2020-01-04T03:00:00.000000000,2268.0,2309.00211
2020-01-04T04:00:00.000000000,2267.0,2312.005
2020-01-04T05:00:00.000000000,2265.0,2312.91537
2020-01-04T06:00:00.000000000,2266.0,2317.04071
2020-01-04T07:00:00.000000000,2267.0,2321.80994
2020-01-04T08:00:00.000000000,2269.0,2324.70492
2020-01-04T09:00:00.000000000,2267.0,2324.21557
2020-01-04T10:00:00.000000000,2269.0,2319.50705
2020-01-04T11:00:00.000000000,2270.0,2315.73034
2020-01-04T12:00:00.000000000,2270.0,2316.29193
2020-01-04T13:00:00.000000000,2270.0,2320.83613
2020-01-04T14:00:00.000000000,2272.0,2325.83572
2020-01-04T15:00:00.000000000,2271.0,2330.42653
2020-01-04T16:00:00.000000000,2272.0,2330.95517
2020-01-04T17:00:00.000000000,2271.0,2332.59172
2020-01-04T18:00:00.000000000,2272.0,2333.67677
2020-01-04T19:00:00.000000000,2272.0,2333.23561
2020-01-04T20:00:00.000000000,2272.0,2334.08367
2020-01-04T21:00:00.000000000,2272.0,2334.87792
2020-01-04T22:00:00.000000000,2272.0,2336.52771
2020-01-04T23:00:00.000000000,2272.0,2336.81146
2020-01-05T00:00:00.000000000,2272.0,2330.24538
2020-01-05T01:00:00.000000000,2272.0,2329.513
2020-01-05T02:00:00.000000000,2271.0,2330.55085
2020-01-05T03:00:00.000000000,2271.0,2332.61978
2020-01-05T04:00:00.000000000,2272.0,2335.66483
2020-01-05T05:00:00.000000000,2272.0,2336.56325
2020-01-05T06:00:00.000000000,2271.0,2340.72212
2020-01-05T07:00:00.000000000,2273.0,2345.53467
2020-01-05T08:00:00.000000000,2273.0,2348.46
2020-01-05T09:00:00.000000000,2271.0,2347.93079
2020-01-05T10:00:00.000000000,2274.0,2343.11782
2020-01-05T11:00:00.000000000,2274.0,2339.24456
2020-01-05T12:00:00.000000000,2274.0,2339.77564
2020-01-05T13:00:00.000000000,2273.0,2344.35653
2020-01-05T14:00:00.000000000,2274.0,2349.40893
2020-01-05T15:00:00.000000000,2274.0,2354.06752
2020-01-05T16:00:00.000000000,2273.0,2354.59831
2020-01-05T17:00:00.000000000,2274.0,2356.25673
2020-01-05T18:00:00.000000000,2273.0,2357.36149
2020-01-05T19:00:00.000000000,2274.0,2356.91098
2020-01-05T20:00:00.000000000,2273.0,2357.7694
2020-01-05T21:00:00.000000000,2274.0,2358.5825
2020-01-05T22:00:00.000000000,2274.0,2360.24855
2020-01-05T23:00:00.000000000,2274.0,2360.52496
2020-01-06T00:00:00.000000000,2273.0,2351.28347
2020-01-06T01:00:00.000000000,2274.0,2350.55225
2020-01-06T02:00:00.000000000,2274.0,2351.61484
2020-01-06T03:00:00.000000000,2274.0,2353.70535
2020-01-06T04:00:00.000000000,2274.0,2356.7881
2020-01-06T05:00:00.000000000,2277.0,2357.67588
2020-01-06T06:00:00.000000000,2275.0,2361.86468
2020-01-06T07:00:00.000000000,2274.0,2366.71592
2020-01-06T08:00:00.000000000,2276.0,2369.66846
2020-01-06T09:00:00.000000000,2275.0,2369.10371
2020-01-06T10:00:00.000000000,2277.0,2364.19749
2020-01-06T11:00:00.000000000,2274.0,2360.23805
2020-01-06T12:00:00.000000000,2274.0,2360.74179
2020-01-06T13:00:00.000000000,2275.0,2365.35549
2020-01-06T14:00:00.000000000,2276.0,2370.45508
2020-01-06T15:00:00.000000000,2276.0,2375.1741
2020-01-06T16:00:00.000000000,2276.0,2375.7069
