datetime,solar_actual,avg_solar_production_forecast
2020-01-01T00:00:00.000000000,1403.0,844.82996
2020-01-01T01:00:00.000000000,0.0,2.18
2020-01-01T02:00:00.000000000,0.0,0.0
2020-01-01T03:00:00.000000000,0.0,0.0
2020-01-01T04:00:00.000000000,0.0,0.0
2020-01-01T05:00:00.000000000,0.0,0.0
2020-01-01T06:00:00.000000000,0.0,0.0
2020-01-01T07:00:00.000000000,0.0,0.0
2020-01-01T08:00:00.000000000,0.0,0.0
2020-01-01T09:00:00.000000000,0.0,0.0
2020-01-01T10:00:00.000000000,0.0,0.0
2020-01-01T11:00:00.000000000,0.0,0.0
2020-01-01T12:00:00.000000000,0.0,0.0
2020-01-01T13:00:00.000000000,0.0,0.0
2020-01-01T14:00:00.000000000,0.0,4.04
2020-01-01T15:00:00.000000000,150.0,1021.87001
2020-01-01T16:00:00.000000000,2703.0,3741.69992
2020-01-01T17:00:00.000000000,5640.0,5910.34993
2020-01-01T18:00:00.000000000,6699.0,6657.78997
2020-01-01T19:00:00.000000000,6483.0,6823.77968
2020-01-01T20:00:00.000000000,6305.0,6839.7698
2020-01-01T21:00:00.000000000,5004.0,6731.61981
2020-01-01T22:00:00.000000000,6195.0,5900.73017
2020-01-01T23:00:00.000000000,4346.0,3431.37994
2020-01-02T00:00:00.000000000,1281.0,2875.81674
2020-01-02T01:00:00.000000000,41.0,1436.91228
2020-01-02T02:00:00.000000000,0.0,99.48578
2020-01-02T03:00:00.000000000,0.0,0.0
2020-01-02T04:00:00.000000000,0.0,0.0
2020-01-02T05:00:00.000000000,0.0,0.0
2020-01-02T06:00:00.000000000,0.0,0.0
2020-01-02T07:00:00.000000000,0.0,346.0368
2020-01-02T08:00:00.000000000,0.0,762.26976
2020-01-02T09:00:00.000000000,0.0,807.18576
2020-01-02T10:00:00.000000000,0.0,828.25931
2020-01-02T11:00:00.000000000,0.0,321.38742
2020-01-02T12:00:00.000000000,0.0,0.0
2020-01-02T13:00:00.000000000,0.0,0.0
2020-01-02T14:00:00.000000000,0.0,295.0654
2020-01-02T15:00:00.000000000,145.0,2302.7441
2020-01-02T16:00:00.000000000,3085.0,4387.31326
2020-01-02T17:00:00.000000000,5978.0,5700.79175
2020-01-02T18:00:00.000000000,6318.0,6572.71041
2020-01-02T19:00:00.000000000,6926.0,6244.06995
2020-01-02T20:00:00.000000000,6573.0,5788.90733
2020-01-02T21:00:00.000000000,6760.0,5678.84419
2020-01-02T22:00:00.000000000,6586.0,5773.08975
